viewing_session_id,transaction_date,show_id,item_name,category,avg_episode_minutes
18,2025-01-30,S09,Toon Town,Kids,20
18,2025-01-30,S14,Parenting Unscripted,Reality TV,35
19,2025-06-04,S15,Cooking Masters,Reality TV,38
20,2025-01-28,S12,Love Island Nairobi,Reality TV,45
20,2025-01-28,S15,Cooking Masters,Reality TV,38
21,2025-01-05,S01,Crime City,Crime Drama,45
21,2025-01-05,S02,The Detective,Crime Drama,50
21,2025-01-05,S03,Silent Witness Redux,Crime Drama,42
22,2025-03-27,S04,Laugh Track,Sitcom,25
22,2025-03-27,S05,Office Antics,Sitcom,22
23,2025-02-19,S07,Galactic Wars,Sci-Fi,60
23,2025-02-19,S14,Parenting Unscripted,Reality TV,35
24,2025-01-22,S06,Space Frontier,Sci-Fi,55
24,2025-01-22,S07,Galactic Wars,Sci-Fi,60
24,2025-01-22,S08,Time Anomaly,Sci-Fi,48
25,2025-04-17,S09,Toon Town,Kids,20
25,2025-04-17,S14,Parenting Unscripted,Reality TV,35
26,2025-05-15,S02,The Detective,Crime Drama,50
27,2025-04-13,S06,Space Frontier,Sci-Fi,55
27,2025-04-13,S09,Toon Town,Kids,20
27,2025-04-13,S04,Laugh Track,Sitcom,25
28,2025-05-10,S07,Galactic Wars,Sci-Fi,60
28,2025-05-10,S12,Love Island Nairobi,Reality TV,45
28,2025-05-10,S08,Time Anomaly,Sci-Fi,48
29,2025-01-25,S06,Space Frontier,Sci-Fi,55
29,2025-01-25,S07,Galactic Wars,Sci-Fi,60
29,2025-01-25,S08,Time Anomaly,Sci-Fi,48
30,2025-01-05,S01,Crime City,Crime Drama,45
30,2025-01-05,S02,The Detective,Crime Drama,50
30,2025-01-05,S03,Silent Witness Redux,Crime Drama,42
31,2025-06-04,S11,Real Life Diaries,Reality TV,40
31,2025-06-04,S12,Love Island Nairobi,Reality TV,45
32,2025-02-20,S09,Toon Town,Kids,20
32,2025-02-20,S10,Little Explorers,Kids,18
33,2025-02-08,S03,Silent Witness Redux,Crime Drama,42
33,2025-02-08,S12,Love Island Nairobi,Reality TV,45
34,2025-03-05,S06,Space Frontier,Sci-Fi,55
34,2025-03-05,S07,Galactic Wars,Sci-Fi,60
35,2025-05-17,S01,Crime City,Crime Drama,45
35,2025-05-17,S11,Real Life Diaries,Reality TV,40
35,2025-05-17,S13,True Crime Files,Documentary,50
35,2025-05-17,S09,Toon Town,Kids,20
36,2025-06-07,S07,Galactic Wars,Sci-Fi,60
37,2025-05-15,S03,Silent Witness Redux,Crime Drama,42
37,2025-05-15,S12,Love Island Nairobi,Reality TV,45
38,2025-04-10,S09,Toon Town,Kids,20
39,2025-06-11,S01,Crime City,Crime Drama,45
39,2025-06-11,S02,The Detective,Crime Drama,50
40,2025-06-10,S09,Toon Town,Kids,20
40,2025-06-10,S14,Parenting Unscripted,Reality TV,35
41,2025-01-12,S09,Toon Town,Kids,20
41,2025-01-12,S10,Little Explorers,Kids,18
42,2025-04-15,S01,Crime City,Crime Drama,45
42,2025-04-15,S02,The Detective,Crime Drama,50
42,2025-04-15,S03,Silent Witness Redux,Crime Drama,42
43,2025-05-01,S01,Crime City,Crime Drama,45
43,2025-05-01,S02,The Detective,Crime Drama,50
43,2025-05-01,S05,Office Antics,Sitcom,22
44,2025-03-18,S13,True Crime Files,Documentary,50
44,2025-03-18,S12,Love Island Nairobi,Reality TV,45
44,2025-03-18,S15,Cooking Masters,Reality TV,38
44,2025-03-18,S08,Time Anomaly,Sci-Fi,48
45,2025-06-19,S11,Real Life Diaries,Reality TV,40
45,2025-06-19,S12,Love Island Nairobi,Reality TV,45
46,2025-03-26,S02,The Detective,Crime Drama,50
46,2025-03-26,S08,Time Anomaly,Sci-Fi,48
47,2025-05-13,S01,Crime City,Crime Drama,45
47,2025-05-13,S02,The Detective,Crime Drama,50
48,2025-05-04,S01,Crime City,Crime Drama,45
48,2025-05-04,S13,True Crime Files,Documentary,50
49,2025-06-11,S11,Real Life Diaries,Reality TV,40
49,2025-06-11,S12,Love Island Nairobi,Reality TV,45
50,2025-04-16,S06,Space Frontier,Sci-Fi,55
50,2025-04-16,S07,Galactic Wars,Sci-Fi,60
50,2025-04-16,S12,Love Island Nairobi,Reality TV,45
51,2025-03-09,S08,Time Anomaly,Sci-Fi,48
51,2025-03-09,S03,Silent Witness Redux,Crime Drama,42
51,2025-03-09,S05,Office Antics,Sitcom,22
52,2025-06-18,S11,Real Life Diaries,Reality TV,40
52,2025-06-18,S12,Love Island Nairobi,Reality TV,45
52,2025-06-18,S15,Cooking Masters,Reality TV,38
53,2025-05-18,S11,Real Life Diaries,Reality TV,40
53,2025-05-18,S12,Love Island Nairobi,Reality TV,45
54,2025-03-06,S09,Toon Town,Kids,20
54,2025-03-06,S14,Parenting Unscripted,Reality TV,35
55,2025-01-17,S09,Toon Town,Kids,20
55,2025-01-17,S14,Parenting Unscripted,Reality TV,35
56,2025-01-27,S01,Crime City,Crime Drama,45
56,2025-01-27,S13,True Crime Files,Documentary,50
57,2025-01-26,S09,Toon Town,Kids,20
58,2025-05-06,S01,Crime City,Crime Drama,45
58,2025-05-06,S02,The Detective,Crime Drama,50
59,2025-03-15,S01,Crime City,Crime Drama,45
59,2025-03-15,S13,True Crime Files,Documentary,50
60,2025-01-03,S04,Laugh Track,Sitcom,25
61,2025-04-19,S10,Little Explorers,Kids,18
61,2025-04-19,S12,Love Island Nairobi,Reality TV,45
62,2025-06-18,S15,Cooking Masters,Reality TV,38
62,2025-06-18,S06,Space Frontier,Sci-Fi,55
63,2025-05-05,S04,Laugh Track,Sitcom,25
63,2025-05-05,S11,Real Life Diaries,Reality TV,40
63,2025-05-05,S14,Parenting Unscripted,Reality TV,35
64,2025-05-14,S04,Laugh Track,Sitcom,25
64,2025-05-14,S05,Office Antics,Sitcom,22
65,2025-04-28,S13,True Crime Files,Documentary,50
65,2025-04-28,S04,Laugh Track,Sitcom,25
65,2025-04-28,S06,Space Frontier,Sci-Fi,55
65,2025-04-28,S03,Silent Witness Redux,Crime Drama,42
66,2025-04-09,S01,Crime City,Crime Drama,45
66,2025-04-09,S13,True Crime Files,Documentary,50
67,2025-06-04,S09,Toon Town,Kids,20
67,2025-06-04,S14,Parenting Unscripted,Reality TV,35
67,2025-06-04,S10,Little Explorers,Kids,18
68,2025-01-09,S11,Real Life Diaries,Reality TV,40
68,2025-01-09,S12,Love Island Nairobi,Reality TV,45
69,2025-06-30,S07,Galactic Wars,Sci-Fi,60
69,2025-06-30,S04,Laugh Track,Sitcom,25
69,2025-06-30,S01,Crime City,Crime Drama,45
70,2025-05-17,S09,Toon Town,Kids,20
70,2025-05-17,S10,Little Explorers,Kids,18
71,2025-01-11,S01,Crime City,Crime Drama,45
71,2025-01-11,S02,The Detective,Crime Drama,50
72,2025-03-05,S11,Real Life Diaries,Reality TV,40
72,2025-03-05,S12,Love Island Nairobi,Reality TV,45
73,2025-03-14,S01,Crime City,Crime Drama,45
73,2025-03-14,S02,The Detective,Crime Drama,50
74,2025-01-21,S11,Real Life Diaries,Reality TV,40
74,2025-01-21,S12,Love Island Nairobi,Reality TV,45
75,2025-06-16,S09,Toon Town,Kids,20
75,2025-06-16,S10,Little Explorers,Kids,18
76,2025-05-12,S01,Crime City,Crime Drama,45
76,2025-05-12,S13,True Crime Files,Documentary,50
77,2025-03-22,S11,Real Life Diaries,Reality TV,40
77,2025-03-22,S12,Love Island Nairobi,Reality TV,45
78,2025-02-18,S01,Crime City,Crime Drama,45
79,2025-06-21,S04,Laugh Track,Sitcom,25
79,2025-06-21,S05,Office Antics,Sitcom,22
80,2025-04-10,S01,Crime City,Crime Drama,45
80,2025-04-10,S02,The Detective,Crime Drama,50
81,2025-02-10,S08,Time Anomaly,Sci-Fi,48
81,2025-02-10,S06,Space Frontier,Sci-Fi,55
81,2025-02-10,S12,Love Island Nairobi,Reality TV,45
81,2025-02-10,S07,Galactic Wars,Sci-Fi,60
82,2025-01-18,S09,Toon Town,Kids,20
82,2025-01-18,S14,Parenting Unscripted,Reality TV,35
83,2025-02-22,S09,Toon Town,Kids,20
83,2025-02-22,S14,Parenting Unscripted,Reality TV,35
84,2025-02-14,S15,Cooking Masters,Reality TV,38
84,2025-02-14,S10,Little Explorers,Kids,18
85,2025-03-25,S04,Laugh Track,Sitcom,25
85,2025-03-25,S05,Office Antics,Sitcom,22
86,2025-04-15,S01,Crime City,Crime Drama,45
86,2025-04-15,S02,The Detective,Crime Drama,50
86,2025-04-15,S03,Silent Witness Redux,Crime Drama,42
87,2025-05-24,S06,Space Frontier,Sci-Fi,55
87,2025-05-24,S07,Galactic Wars,Sci-Fi,60
88,2025-02-12,S10,Little Explorers,Kids,18
88,2025-02-12,S06,Space Frontier,Sci-Fi,55
89,2025-03-06,S05,Office Antics,Sitcom,22
89,2025-03-06,S11,Real Life Diaries,Reality TV,40
89,2025-03-06,S08,Time Anomaly,Sci-Fi,48
90,2025-02-21,S01,Crime City,Crime Drama,45
90,2025-02-21,S02,The Detective,Crime Drama,50
90,2025-02-21,S03,Silent Witness Redux,Crime Drama,42
90,2025-02-21,S12,Love Island Nairobi,Reality TV,45
91,2025-04-21,S11,Real Life Diaries,Reality TV,40
91,2025-04-21,S12,Love Island Nairobi,Reality TV,45
92,2025-05-03,S09,Toon Town,Kids,20
92,2025-05-03,S10,Little Explorers,Kids,18
93,2025-03-24,S09,Toon Town,Kids,20
93,2025-03-24,S10,Little Explorers,Kids,18
94,2025-05-04,S09,Toon Town,Kids,20
94,2025-05-04,S10,Little Explorers,Kids,18
95,2025-03-14,S09,Toon Town,Kids,20
95,2025-03-14,S14,Parenting Unscripted,Reality TV,35
95,2025-03-14,S11,Real Life Diaries,Reality TV,40
96,2025-04-05,S11,Real Life Diaries,Reality TV,40
96,2025-04-05,S12,Love Island Nairobi,Reality TV,45
97,2025-05-25,S14,Parenting Unscripted,Reality TV,35
98,2025-04-17,S01,Crime City,Crime Drama,45
98,2025-04-17,S13,True Crime Files,Documentary,50
99,2025-05-19,S01,Crime City,Crime Drama,45
99,2025-05-19,S13,True Crime Files,Documentary,50
100,2025-03-22,S06,Space Frontier,Sci-Fi,55
100,2025-03-22,S07,Galactic Wars,Sci-Fi,60
100,2025-03-22,S08,Time Anomaly,Sci-Fi,48
101,2025-01-23,S02,The Detective,Crime Drama,50
101,2025-01-23,S09,Toon Town,Kids,20
101,2025-01-23,S10,Little Explorers,Kids,18
102,2025-04-08,S01,Crime City,Crime Drama,45
102,2025-04-08,S13,True Crime Files,Documentary,50
103,2025-05-03,S01,Crime City,Crime Drama,45
103,2025-05-03,S02,The Detective,Crime Drama,50
104,2025-02-04,S05,Office Antics,Sitcom,22
104,2025-02-04,S06,Space Frontier,Sci-Fi,55
104,2025-02-04,S03,Silent Witness Redux,Crime Drama,42
105,2025-06-01,S01,Crime City,Crime Drama,45
105,2025-06-01,S02,The Detective,Crime Drama,50
106,2025-05-09,S02,The Detective,Crime Drama,50
106,2025-05-09,S06,Space Frontier,Sci-Fi,55
106,2025-05-09,S11,Real Life Diaries,Reality TV,40
106,2025-05-09,S15,Cooking Masters,Reality TV,38
107,2025-02-01,S04,Laugh Track,Sitcom,25
107,2025-02-01,S05,Office Antics,Sitcom,22
108,2025-02-16,S14,Parenting Unscripted,Reality TV,35
108,2025-02-16,S03,Silent Witness Redux,Crime Drama,42
108,2025-02-16,S11,Real Life Diaries,Reality TV,40
108,2025-02-16,S06,Space Frontier,Sci-Fi,55
109,2025-03-09,S05,Office Antics,Sitcom,22
109,2025-03-09,S08,Time Anomaly,Sci-Fi,48
109,2025-03-09,S12,Love Island Nairobi,Reality TV,45
110,2025-03-19,S01,Crime City,Crime Drama,45
110,2025-03-19,S13,True Crime Files,Documentary,50
111,2025-03-16,S09,Toon Town,Kids,20
111,2025-03-16,S14,Parenting Unscripted,Reality TV,35
112,2025-01-10,S09,Toon Town,Kids,20
112,2025-01-10,S10,Little Explorers,Kids,18
113,2025-01-25,S11,Real Life Diaries,Reality TV,40
113,2025-01-25,S12,Love Island Nairobi,Reality TV,45
114,2025-05-14,S01,Crime City,Crime Drama,45
114,2025-05-14,S13,True Crime Files,Documentary,50
115,2025-03-22,S05,Office Antics,Sitcom,22
115,2025-03-22,S09,Toon Town,Kids,20
116,2025-04-22,S06,Space Frontier,Sci-Fi,55
116,2025-04-22,S07,Galactic Wars,Sci-Fi,60
117,2025-04-12,S06,Space Frontier,Sci-Fi,55
117,2025-04-12,S02,The Detective,Crime Drama,50
117,2025-04-12,S05,Office Antics,Sitcom,22
117,2025-04-12,S07,Galactic Wars,Sci-Fi,60
118,2025-05-18,S02,The Detective,Crime Drama,50
118,2025-05-18,S10,Little Explorers,Kids,18
119,2025-03-21,S06,Space Frontier,Sci-Fi,55
119,2025-03-21,S07,Galactic Wars,Sci-Fi,60
119,2025-03-21,S08,Time Anomaly,Sci-Fi,48
120,2025-04-19,S04,Laugh Track,Sitcom,25
120,2025-04-19,S05,Office Antics,Sitcom,22
121,2025-04-10,S14,Parenting Unscripted,Reality TV,35
122,2025-01-30,S04,Laugh Track,Sitcom,25
122,2025-01-30,S05,Office Antics,Sitcom,22
123,2025-01-16,S08,Time Anomaly,Sci-Fi,48
123,2025-01-16,S04,Laugh Track,Sitcom,25
123,2025-01-16,S01,Crime City,Crime Drama,45
123,2025-01-16,S14,Parenting Unscripted,Reality TV,35
124,2025-04-29,S02,The Detective,Crime Drama,50
124,2025-04-29,S08,Time Anomaly,Sci-Fi,48
125,2025-06-11,S11,Real Life Diaries,Reality TV,40
125,2025-06-11,S12,Love Island Nairobi,Reality TV,45
125,2025-06-11,S09,Toon Town,Kids,20
126,2025-05-25,S06,Space Frontier,Sci-Fi,55
126,2025-05-25,S07,Galactic Wars,Sci-Fi,60
126,2025-05-25,S08,Time Anomaly,Sci-Fi,48
127,2025-05-04,S04,Laugh Track,Sitcom,25
127,2025-05-04,S05,Office Antics,Sitcom,22
127,2025-05-04,S02,The Detective,Crime Drama,50
128,2025-02-15,S04,Laugh Track,Sitcom,25
128,2025-02-15,S05,Office Antics,Sitcom,22
129,2025-04-28,S04,Laugh Track,Sitcom,25
129,2025-04-28,S05,Office Antics,Sitcom,22
130,2025-04-14,S09,Toon Town,Kids,20
130,2025-04-14,S10,Little Explorers,Kids,18
131,2025-05-14,S06,Space Frontier,Sci-Fi,55
131,2025-05-14,S07,Galactic Wars,Sci-Fi,60
131,2025-05-14,S08,Time Anomaly,Sci-Fi,48
132,2025-02-01,S01,Crime City,Crime Drama,45
132,2025-02-01,S14,Parenting Unscripted,Reality TV,35
132,2025-02-01,S12,Love Island Nairobi,Reality TV,45
132,2025-02-01,S06,Space Frontier,Sci-Fi,55
133,2025-03-16,S11,Real Life Diaries,Reality TV,40
133,2025-03-16,S12,Love Island Nairobi,Reality TV,45
133,2025-03-16,S15,Cooking Masters,Reality TV,38
134,2025-03-29,S06,Space Frontier,Sci-Fi,55
134,2025-03-29,S07,Galactic Wars,Sci-Fi,60
135,2025-06-14,S10,Little Explorers,Kids,18
136,2025-02-26,S11,Real Life Diaries,Reality TV,40
136,2025-02-26,S12,Love Island Nairobi,Reality TV,45
136,2025-02-26,S15,Cooking Masters,Reality TV,38
137,2025-03-13,S09,Toon Town,Kids,20
137,2025-03-13,S10,Little Explorers,Kids,18
138,2025-05-03,S04,Laugh Track,Sitcom,25
138,2025-05-03,S05,Office Antics,Sitcom,22
139,2025-06-11,S04,Laugh Track,Sitcom,25
139,2025-06-11,S05,Office Antics,Sitcom,22
140,2025-01-18,S06,Space Frontier,Sci-Fi,55
141,2025-03-31,S04,Laugh Track,Sitcom,25
141,2025-03-31,S05,Office Antics,Sitcom,22
142,2025-03-07,S07,Galactic Wars,Sci-Fi,60
142,2025-03-07,S14,Parenting Unscripted,Reality TV,35
143,2025-03-10,S09,Toon Town,Kids,20
143,2025-03-10,S10,Little Explorers,Kids,18
143,2025-03-10,S14,Parenting Unscripted,Reality TV,35
144,2025-05-24,S11,Real Life Diaries,Reality TV,40
144,2025-05-24,S12,Love Island Nairobi,Reality TV,45
145,2025-02-27,S06,Space Frontier,Sci-Fi,55
145,2025-02-27,S07,Galactic Wars,Sci-Fi,60
146,2025-01-28,S15,Cooking Masters,Reality TV,38
147,2025-04-16,S02,The Detective,Crime Drama,50
147,2025-04-16,S08,Time Anomaly,Sci-Fi,48
147,2025-04-16,S15,Cooking Masters,Reality TV,38
147,2025-04-16,S12,Love Island Nairobi,Reality TV,45
148,2025-03-20,S11,Real Life Diaries,Reality TV,40
149,2025-03-04,S06,Space Frontier,Sci-Fi,55
149,2025-03-04,S07,Galactic Wars,Sci-Fi,60
149,2025-03-04,S08,Time Anomaly,Sci-Fi,48
150,2025-03-19,S09,Toon Town,Kids,20
150,2025-03-19,S14,Parenting Unscripted,Reality TV,35
151,2025-03-25,S10,Little Explorers,Kids,18
151,2025-03-25,S05,Office Antics,Sitcom,22
151,2025-03-25,S12,Love Island Nairobi,Reality TV,45
152,2025-03-18,S04,Laugh Track,Sitcom,25
152,2025-03-18,S05,Office Antics,Sitcom,22
153,2025-03-17,S06,Space Frontier,Sci-Fi,55
153,2025-03-17,S07,Galactic Wars,Sci-Fi,60
153,2025-03-17,S08,Time Anomaly,Sci-Fi,48
154,2025-06-19,S12,Love Island Nairobi,Reality TV,45
155,2025-03-03,S05,Office Antics,Sitcom,22
155,2025-03-03,S07,Galactic Wars,Sci-Fi,60
156,2025-05-19,S09,Toon Town,Kids,20
156,2025-05-19,S05,Office Antics,Sitcom,22
156,2025-05-19,S10,Little Explorers,Kids,18
157,2025-01-11,S09,Toon Town,Kids,20
157,2025-01-11,S10,Little Explorers,Kids,18
158,2025-01-04,S04,Laugh Track,Sitcom,25
158,2025-01-04,S05,Office Antics,Sitcom,22
159,2025-01-07,S04,Laugh Track,Sitcom,25
159,2025-01-07,S05,Office Antics,Sitcom,22
159,2025-01-07,S03,Silent Witness Redux,Crime Drama,42
160,2025-04-04,S02,The Detective,Crime Drama,50
161,2025-01-25,S11,Real Life Diaries,Reality TV,40
161,2025-01-25,S12,Love Island Nairobi,Reality TV,45
161,2025-01-25,S15,Cooking Masters,Reality TV,38
162,2025-03-22,S01,Crime City,Crime Drama,45
162,2025-03-22,S02,The Detective,Crime Drama,50
163,2025-01-31,S01,Crime City,Crime Drama,45
163,2025-01-31,S13,True Crime Files,Documentary,50
164,2025-01-14,S01,Crime City,Crime Drama,45
164,2025-01-14,S13,True Crime Files,Documentary,50
165,2025-04-16,S06,Space Frontier,Sci-Fi,55
165,2025-04-16,S07,Galactic Wars,Sci-Fi,60
166,2025-04-01,S15,Cooking Masters,Reality TV,38
166,2025-04-01,S05,Office Antics,Sitcom,22
167,2025-02-03,S11,Real Life Diaries,Reality TV,40
167,2025-02-03,S12,Love Island Nairobi,Reality TV,45
167,2025-02-03,S15,Cooking Masters,Reality TV,38
168,2025-03-05,S09,Toon Town,Kids,20
168,2025-03-05,S10,Little Explorers,Kids,18
169,2025-03-14,S04,Laugh Track,Sitcom,25
169,2025-03-14,S05,Office Antics,Sitcom,22
170,2025-03-31,S07,Galactic Wars,Sci-Fi,60
171,2025-02-04,S06,Space Frontier,Sci-Fi,55
171,2025-02-04,S10,Little Explorers,Kids,18
172,2025-02-18,S06,Space Frontier,Sci-Fi,55
172,2025-02-18,S07,Galactic Wars,Sci-Fi,60
173,2025-04-11,S09,Toon Town,Kids,20
173,2025-04-11,S14,Parenting Unscripted,Reality TV,35
174,2025-02-21,S01,Crime City,Crime Drama,45
174,2025-02-21,S13,True Crime Files,Documentary,50
175,2025-01-16,S15,Cooking Masters,Reality TV,38
175,2025-01-16,S07,Galactic Wars,Sci-Fi,60
175,2025-01-16,S11,Real Life Diaries,Reality TV,40
175,2025-01-16,S13,True Crime Files,Documentary,50
176,2025-04-28,S11,Real Life Diaries,Reality TV,40
176,2025-04-28,S12,Love Island Nairobi,Reality TV,45
176,2025-04-28,S15,Cooking Masters,Reality TV,38
177,2025-06-27,S09,Toon Town,Kids,20
177,2025-06-27,S10,Little Explorers,Kids,18
178,2025-05-21,S09,Toon Town,Kids,20
178,2025-05-21,S07,Galactic Wars,Sci-Fi,60
178,2025-05-21,S15,Cooking Masters,Reality TV,38
178,2025-05-21,S10,Little Explorers,Kids,18
179,2025-04-30,S09,Toon Town,Kids,20
179,2025-04-30,S10,Little Explorers,Kids,18
180,2025-05-17,S05,Office Antics,Sitcom,22
180,2025-05-17,S13,True Crime Files,Documentary,50
180,2025-05-17,S09,Toon Town,Kids,20
180,2025-05-17,S01,Crime City,Crime Drama,45
181,2025-04-25,S01,Crime City,Crime Drama,45
181,2025-04-25,S13,True Crime Files,Documentary,50
182,2025-06-15,S10,Little Explorers,Kids,18
183,2025-02-09,S08,Time Anomaly,Sci-Fi,48
183,2025-02-09,S07,Galactic Wars,Sci-Fi,60
183,2025-02-09,S02,The Detective,Crime Drama,50
184,2025-04-27,S06,Space Frontier,Sci-Fi,55
184,2025-04-27,S07,Galactic Wars,Sci-Fi,60
185,2025-05-13,S01,Crime City,Crime Drama,45
185,2025-05-13,S02,The Detective,Crime Drama,50
185,2025-05-13,S03,Silent Witness Redux,Crime Drama,42
186,2025-03-05,S03,Silent Witness Redux,Crime Drama,42
186,2025-03-05,S08,Time Anomaly,Sci-Fi,48
186,2025-03-05,S12,Love Island Nairobi,Reality TV,45
186,2025-03-05,S01,Crime City,Crime Drama,45
187,2025-01-18,S06,Space Frontier,Sci-Fi,55
187,2025-01-18,S07,Galactic Wars,Sci-Fi,60
188,2025-04-18,S14,Parenting Unscripted,Reality TV,35
188,2025-04-18,S04,Laugh Track,Sitcom,25
188,2025-04-18,S08,Time Anomaly,Sci-Fi,48
189,2025-01-17,S06,Space Frontier,Sci-Fi,55
189,2025-01-17,S03,Silent Witness Redux,Crime Drama,42
189,2025-01-17,S08,Time Anomaly,Sci-Fi,48
189,2025-01-17,S12,Love Island Nairobi,Reality TV,45
190,2025-05-26,S10,Little Explorers,Kids,18
191,2025-03-11,S01,Crime City,Crime Drama,45
191,2025-03-11,S13,True Crime Files,Documentary,50
192,2025-03-26,S04,Laugh Track,Sitcom,25
192,2025-03-26,S05,Office Antics,Sitcom,22
193,2025-03-21,S01,Crime City,Crime Drama,45
193,2025-03-21,S02,The Detective,Crime Drama,50
193,2025-03-21,S14,Parenting Unscripted,Reality TV,35
194,2025-03-07,S13,True Crime Files,Documentary,50
194,2025-03-07,S09,Toon Town,Kids,20
194,2025-03-07,S06,Space Frontier,Sci-Fi,55
195,2025-02-07,S11,Real Life Diaries,Reality TV,40
195,2025-02-07,S12,Love Island Nairobi,Reality TV,45
195,2025-02-07,S15,Cooking Masters,Reality TV,38
196,2025-01-28,S01,Crime City,Crime Drama,45
196,2025-01-28,S13,True Crime Files,Documentary,50
197,2025-04-26,S08,Time Anomaly,Sci-Fi,48
197,2025-04-26,S09,Toon Town,Kids,20
197,2025-04-26,S02,The Detective,Crime Drama,50
197,2025-04-26,S07,Galactic Wars,Sci-Fi,60
198,2025-03-27,S11,Real Life Diaries,Reality TV,40
198,2025-03-27,S12,Love Island Nairobi,Reality TV,45
198,2025-03-27,S15,Cooking Masters,Reality TV,38
199,2025-05-27,S05,Office Antics,Sitcom,22
199,2025-05-27,S11,Real Life Diaries,Reality TV,40
199,2025-05-27,S13,True Crime Files,Documentary,50
200,2025-06-13,S04,Laugh Track,Sitcom,25
200,2025-06-13,S05,Office Antics,Sitcom,22
201,2025-03-19,S10,Little Explorers,Kids,18
201,2025-03-19,S12,Love Island Nairobi,Reality TV,45
201,2025-03-19,S05,Office Antics,Sitcom,22
201,2025-03-19,S14,Parenting Unscripted,Reality TV,35
202,2025-05-31,S04,Laugh Track,Sitcom,25
202,2025-05-31,S09,Toon Town,Kids,20
203,2025-01-20,S09,Toon Town,Kids,20
203,2025-01-20,S04,Laugh Track,Sitcom,25
203,2025-01-20,S02,The Detective,Crime Drama,50
203,2025-01-20,S11,Real Life Diaries,Reality TV,40
204,2025-02-12,S14,Parenting Unscripted,Reality TV,35
204,2025-02-12,S05,Office Antics,Sitcom,22
205,2025-01-09,S13,True Crime Files,Documentary,50
205,2025-01-09,S08,Time Anomaly,Sci-Fi,48
205,2025-01-09,S05,Office Antics,Sitcom,22
205,2025-01-09,S06,Space Frontier,Sci-Fi,55
206,2025-02-03,S11,Real Life Diaries,Reality TV,40
206,2025-02-03,S12,Love Island Nairobi,Reality TV,45
207,2025-05-16,S09,Toon Town,Kids,20
207,2025-05-16,S10,Little Explorers,Kids,18
208,2025-05-19,S09,Toon Town,Kids,20
208,2025-05-19,S04,Laugh Track,Sitcom,25
208,2025-05-19,S10,Little Explorers,Kids,18
208,2025-05-19,S06,Space Frontier,Sci-Fi,55
209,2025-03-19,S04,Laugh Track,Sitcom,25
209,2025-03-19,S05,Office Antics,Sitcom,22
209,2025-03-19,S07,Galactic Wars,Sci-Fi,60
210,2025-04-10,S15,Cooking Masters,Reality TV,38
210,2025-04-10,S05,Office Antics,Sitcom,22
210,2025-04-10,S06,Space Frontier,Sci-Fi,55
210,2025-04-10,S02,The Detective,Crime Drama,50
211,2025-05-26,S04,Laugh Track,Sitcom,25
211,2025-05-26,S05,Office Antics,Sitcom,22
212,2025-06-01,S07,Galactic Wars,Sci-Fi,60
212,2025-06-01,S12,Love Island Nairobi,Reality TV,45
212,2025-06-01,S10,Little Explorers,Kids,18
213,2025-01-28,S08,Time Anomaly,Sci-Fi,48
213,2025-01-28,S11,Real Life Diaries,Reality TV,40
213,2025-01-28,S06,Space Frontier,Sci-Fi,55
214,2025-02-17,S13,True Crime Files,Documentary,50
