store_id,location_type,monthly_revenue_kes,daily_foot_traffic,staff_count,store_size_sqm,avg_basket_size_kes
379,Street,1441402.0,376.0,7.0,379.0,115.0
380,Street,493719.0,702.0,9.0,259.0,50.0
381,Street,1149373.0,446.0,12.0,248.0,94.0
382,Mall,1256471.0,383.0,7.0,352.0,105.0
383,Mall,5844746.0,828.0,23.0,745.0,208.0
384,Mall,755377.0,760.0,5.0,251.0,50.0
385,Street,458955.0,210.0,5.0,90.0,
386,Mall,1407432.0,186.0,2.0,77.0,215.0
387,Residential,946517.0,296.0,11.0,354.0,111.0
388,CBD,1736361.0,381.0,10.0,297.0,154.0
389,Mall,466609.0,157.0,5.0,93.0,112.0
390,Street,1313787.0,537.0,9.0,396.0,77.0
391,Mall,1383151.0,314.0,9.0,309.0,152.0
392,Street,1091007.0,459.0,10.0,278.0,
393,Mall,905039.0,511.0,10.0,348.0,67.0
394,Street,893560.0,148.0,5.0,81.0,206.0
395,CBD,1481312.0,472.0,9.0,315.0,110.0
396,Street,519149.0,164.0,3.0,158.0,108.0
397,Street,1067103.0,122.0,6.0,98.0,317.0
398,Mall,5035107.0,837.0,20.0,793.0,211.0
399,Mall,1632168.0,381.0,8.0,347.0,151.0
400,CBD,1188673.0,249.0,4.0,99.0,158.0
