basket_id,transaction_date,item_id,item_name,category,unit_price_kes
46,2025-01-29,G14,Baby Diapers,Baby Care,1200
46,2025-01-29,G15,Beer (6-Pack),Alcohol,800
47,2025-01-14,G16,Baby Wipes,Baby Care,350
47,2025-01-14,G14,Baby Diapers,Baby Care,1200
48,2025-05-11,G14,Baby Diapers,Baby Care,1200
48,2025-05-11,G15,Beer (6-Pack),Alcohol,800
49,2025-05-11,G18,Rice 2kg,Pantry,250
49,2025-05-11,G19,Cooking Oil 1L,Pantry,300
49,2025-05-11,G20,Onions 1kg,Produce,80
49,2025-05-11,G02,Butter,Dairy,180
50,2025-01-30,G01,White Bread,Bakery,60
50,2025-01-30,G02,Butter,Dairy,180
50,2025-01-30,G03,Milk 1L,Dairy,120
51,2025-03-17,G01,White Bread,Bakery,60
51,2025-03-17,G02,Butter,Dairy,180
51,2025-03-17,G03,Milk 1L,Dairy,120
52,2025-03-05,G16,Baby Wipes,Baby Care,350
52,2025-03-05,G14,Baby Diapers,Baby Care,1200
53,2025-01-27,G20,Onions 1kg,Produce,80
53,2025-01-27,G05,Coffee,Beverages,450
54,2025-01-14,G13,Soda 2L,Beverages,150
54,2025-01-14,G02,Butter,Dairy,180
54,2025-01-14,G05,Coffee,Beverages,450
54,2025-01-14,G18,Rice 2kg,Pantry,250
55,2025-01-14,G13,Soda 2L,Beverages,150
55,2025-01-14,G20,Onions 1kg,Produce,80
55,2025-01-14,G02,Butter,Dairy,180
56,2025-01-09,G01,White Bread,Bakery,60
56,2025-01-09,G02,Butter,Dairy,180
56,2025-01-09,G03,Milk 1L,Dairy,120
57,2025-03-31,G14,Baby Diapers,Baby Care,1200
57,2025-03-31,G15,Beer (6-Pack),Alcohol,800
58,2025-04-26,G01,White Bread,Bakery,60
58,2025-04-26,G02,Butter,Dairy,180
58,2025-04-26,G03,Milk 1L,Dairy,120
58,2025-04-26,G04,Eggs (Tray),Dairy,350
59,2025-01-07,G05,Coffee,Beverages,450
59,2025-01-07,G07,Sugar 1kg,Pantry,150
59,2025-01-07,G10,Parmesan Cheese,Dairy,400
60,2025-02-07,G20,Onions 1kg,Produce,80
61,2025-03-23,G02,Butter,Dairy,180
61,2025-03-23,G11,Potato Chips,Snacks,150
61,2025-03-23,G05,Coffee,Beverages,450
62,2025-01-05,G06,Tea Leaves,Beverages,200
62,2025-01-05,G05,Coffee,Beverages,450
62,2025-01-05,G15,Beer (6-Pack),Alcohol,800
62,2025-01-05,G02,Butter,Dairy,180
63,2025-02-02,G11,Potato Chips,Snacks,150
63,2025-02-02,G12,Salsa Dip,Snacks,200
64,2025-03-29,G05,Coffee,Beverages,450
64,2025-03-29,G01,White Bread,Bakery,60
65,2025-06-12,G20,Onions 1kg,Produce,80
66,2025-06-16,G16,Baby Wipes,Baby Care,350
66,2025-06-16,G14,Baby Diapers,Baby Care,1200
66,2025-06-16,G17,Baby Formula,Baby Care,1500
67,2025-01-30,G16,Baby Wipes,Baby Care,350
67,2025-01-30,G14,Baby Diapers,Baby Care,1200
68,2025-06-07,G11,Potato Chips,Snacks,150
68,2025-06-07,G12,Salsa Dip,Snacks,200
69,2025-05-04,G08,Pasta,Pantry,120
69,2025-05-04,G09,Tomato Sauce,Pantry,90
70,2025-01-14,G19,Cooking Oil 1L,Pantry,300
71,2025-02-18,G18,Rice 2kg,Pantry,250
71,2025-02-18,G19,Cooking Oil 1L,Pantry,300
71,2025-02-18,G20,Onions 1kg,Produce,80
72,2025-03-20,G16,Baby Wipes,Baby Care,350
72,2025-03-20,G14,Baby Diapers,Baby Care,1200
73,2025-06-27,G11,Potato Chips,Snacks,150
73,2025-06-27,G12,Salsa Dip,Snacks,200
74,2025-05-17,G16,Baby Wipes,Baby Care,350
74,2025-05-17,G08,Pasta,Pantry,120
74,2025-05-17,G18,Rice 2kg,Pantry,250
75,2025-04-01,G06,Tea Leaves,Beverages,200
76,2025-02-03,G01,White Bread,Bakery,60
76,2025-02-03,G02,Butter,Dairy,180
76,2025-02-03,G03,Milk 1L,Dairy,120
76,2025-02-03,G04,Eggs (Tray),Dairy,350
77,2025-03-12,G18,Rice 2kg,Pantry,250
77,2025-03-12,G19,Cooking Oil 1L,Pantry,300
77,2025-03-12,G20,Onions 1kg,Produce,80
78,2025-04-01,G17,Baby Formula,Baby Care,1500
78,2025-04-01,G18,Rice 2kg,Pantry,250
79,2025-06-02,G16,Baby Wipes,Baby Care,350
79,2025-06-02,G14,Baby Diapers,Baby Care,1200
79,2025-06-02,G17,Baby Formula,Baby Care,1500
80,2025-04-21,G01,White Bread,Bakery,60
80,2025-04-21,G02,Butter,Dairy,180
80,2025-04-21,G03,Milk 1L,Dairy,120
81,2025-01-20,G11,Potato Chips,Snacks,150
81,2025-01-20,G12,Salsa Dip,Snacks,200
82,2025-06-26,G16,Baby Wipes,Baby Care,350
82,2025-06-26,G19,Cooking Oil 1L,Pantry,300
83,2025-06-25,G05,Coffee,Beverages,450
83,2025-06-25,G07,Sugar 1kg,Pantry,150
84,2025-06-29,G11,Potato Chips,Snacks,150
84,2025-06-29,G12,Salsa Dip,Snacks,200
85,2025-03-21,G14,Baby Diapers,Baby Care,1200
85,2025-03-21,G11,Potato Chips,Snacks,150
86,2025-04-26,G11,Potato Chips,Snacks,150
86,2025-04-26,G12,Salsa Dip,Snacks,200
87,2025-04-06,G16,Baby Wipes,Baby Care,350
87,2025-04-06,G14,Baby Diapers,Baby Care,1200
88,2025-05-11,G04,Eggs (Tray),Dairy,350
89,2025-03-14,G02,Butter,Dairy,180
90,2025-02-28,G16,Baby Wipes,Baby Care,350
90,2025-02-28,G14,Baby Diapers,Baby Care,1200
91,2025-02-24,G04,Eggs (Tray),Dairy,350
92,2025-02-27,G01,White Bread,Bakery,60
92,2025-02-27,G07,Sugar 1kg,Pantry,150
93,2025-03-15,G11,Potato Chips,Snacks,150
93,2025-03-15,G12,Salsa Dip,Snacks,200
94,2025-06-02,G01,White Bread,Bakery,60
94,2025-06-02,G02,Butter,Dairy,180
94,2025-06-02,G03,Milk 1L,Dairy,120
94,2025-06-02,G04,Eggs (Tray),Dairy,350
95,2025-04-28,G20,Onions 1kg,Produce,80
95,2025-04-28,G09,Tomato Sauce,Pantry,90
95,2025-04-28,G19,Cooking Oil 1L,Pantry,300
95,2025-04-28,G04,Eggs (Tray),Dairy,350
96,2025-06-28,G14,Baby Diapers,Baby Care,1200
96,2025-06-28,G15,Beer (6-Pack),Alcohol,800
97,2025-03-09,G01,White Bread,Bakery,60
98,2025-06-04,G16,Baby Wipes,Baby Care,350
98,2025-06-04,G14,Baby Diapers,Baby Care,1200
99,2025-03-06,G18,Rice 2kg,Pantry,250
99,2025-03-06,G01,White Bread,Bakery,60
99,2025-03-06,G11,Potato Chips,Snacks,150
100,2025-01-13,G01,White Bread,Bakery,60
100,2025-01-13,G02,Butter,Dairy,180
100,2025-01-13,G03,Milk 1L,Dairy,120
101,2025-05-09,G08,Pasta,Pantry,120
101,2025-05-09,G09,Tomato Sauce,Pantry,90
101,2025-05-09,G10,Parmesan Cheese,Dairy,400
102,2025-01-31,G14,Baby Diapers,Baby Care,1200
102,2025-01-31,G15,Beer (6-Pack),Alcohol,800
103,2025-06-05,G05,Coffee,Beverages,450
103,2025-06-05,G07,Sugar 1kg,Pantry,150
104,2025-04-09,G08,Pasta,Pantry,120
104,2025-04-09,G09,Tomato Sauce,Pantry,90
104,2025-04-09,G10,Parmesan Cheese,Dairy,400
104,2025-04-09,G11,Potato Chips,Snacks,150
105,2025-01-20,G08,Pasta,Pantry,120
105,2025-01-20,G09,Tomato Sauce,Pantry,90
105,2025-01-20,G10,Parmesan Cheese,Dairy,400
106,2025-04-12,G05,Coffee,Beverages,450
106,2025-04-12,G07,Sugar 1kg,Pantry,150
107,2025-05-08,G11,Potato Chips,Snacks,150
107,2025-05-08,G12,Salsa Dip,Snacks,200
107,2025-05-08,G13,Soda 2L,Beverages,150
108,2025-03-05,G10,Parmesan Cheese,Dairy,400
108,2025-03-05,G15,Beer (6-Pack),Alcohol,800
108,2025-03-05,G07,Sugar 1kg,Pantry,150
108,2025-03-05,G09,Tomato Sauce,Pantry,90
109,2025-03-27,G02,Butter,Dairy,180
110,2025-04-17,G16,Baby Wipes,Baby Care,350
111,2025-04-14,G18,Rice 2kg,Pantry,250
111,2025-04-14,G19,Cooking Oil 1L,Pantry,300
111,2025-04-14,G20,Onions 1kg,Produce,80
112,2025-01-17,G06,Tea Leaves,Beverages,200
113,2025-06-29,G17,Baby Formula,Baby Care,1500
114,2025-04-22,G13,Soda 2L,Beverages,150
114,2025-04-22,G05,Coffee,Beverages,450
114,2025-04-22,G19,Cooking Oil 1L,Pantry,300
114,2025-04-22,G06,Tea Leaves,Beverages,200
115,2025-04-09,G14,Baby Diapers,Baby Care,1200
116,2025-04-22,G06,Tea Leaves,Beverages,200
116,2025-04-22,G18,Rice 2kg,Pantry,250
117,2025-05-13,G16,Baby Wipes,Baby Care,350
117,2025-05-13,G14,Baby Diapers,Baby Care,1200
118,2025-05-02,G16,Baby Wipes,Baby Care,350
118,2025-05-02,G14,Baby Diapers,Baby Care,1200
119,2025-04-22,G14,Baby Diapers,Baby Care,1200
119,2025-04-22,G15,Beer (6-Pack),Alcohol,800
120,2025-02-08,G05,Coffee,Beverages,450
120,2025-02-08,G07,Sugar 1kg,Pantry,150
121,2025-04-15,G01,White Bread,Bakery,60
121,2025-04-15,G02,Butter,Dairy,180
121,2025-04-15,G03,Milk 1L,Dairy,120
121,2025-04-15,G04,Eggs (Tray),Dairy,350
122,2025-05-09,G08,Pasta,Pantry,120
122,2025-05-09,G09,Tomato Sauce,Pantry,90
123,2025-01-12,G02,Butter,Dairy,180
124,2025-04-30,G16,Baby Wipes,Baby Care,350
124,2025-04-30,G14,Baby Diapers,Baby Care,1200
125,2025-05-19,G10,Parmesan Cheese,Dairy,400
125,2025-05-19,G15,Beer (6-Pack),Alcohol,800
126,2025-03-12,G11,Potato Chips,Snacks,150
126,2025-03-12,G12,Salsa Dip,Snacks,200
127,2025-06-29,G18,Rice 2kg,Pantry,250
127,2025-06-29,G19,Cooking Oil 1L,Pantry,300
127,2025-06-29,G20,Onions 1kg,Produce,80
128,2025-06-10,G07,Sugar 1kg,Pantry,150
129,2025-02-03,G01,White Bread,Bakery,60
129,2025-02-03,G02,Butter,Dairy,180
129,2025-02-03,G03,Milk 1L,Dairy,120
130,2025-04-11,G01,White Bread,Bakery,60
131,2025-06-19,G05,Coffee,Beverages,450
131,2025-06-19,G07,Sugar 1kg,Pantry,150
132,2025-06-06,G01,White Bread,Bakery,60
132,2025-06-06,G02,Butter,Dairy,180
132,2025-06-06,G03,Milk 1L,Dairy,120
133,2025-05-08,G14,Baby Diapers,Baby Care,1200
133,2025-05-08,G15,Beer (6-Pack),Alcohol,800
134,2025-05-29,G10,Parmesan Cheese,Dairy,400
134,2025-05-29,G04,Eggs (Tray),Dairy,350
135,2025-06-03,G15,Beer (6-Pack),Alcohol,800
135,2025-06-03,G09,Tomato Sauce,Pantry,90
135,2025-06-03,G18,Rice 2kg,Pantry,250
135,2025-06-03,G10,Parmesan Cheese,Dairy,400
136,2025-06-01,G18,Rice 2kg,Pantry,250
137,2025-05-22,G02,Butter,Dairy,180
138,2025-01-11,G18,Rice 2kg,Pantry,250
138,2025-01-11,G19,Cooking Oil 1L,Pantry,300
138,2025-01-11,G20,Onions 1kg,Produce,80
139,2025-05-10,G17,Baby Formula,Baby Care,1500
140,2025-02-20,G16,Baby Wipes,Baby Care,350
140,2025-02-20,G14,Baby Diapers,Baby Care,1200
141,2025-04-28,G18,Rice 2kg,Pantry,250
141,2025-04-28,G19,Cooking Oil 1L,Pantry,300
141,2025-04-28,G20,Onions 1kg,Produce,80
142,2025-06-29,G16,Baby Wipes,Baby Care,350
142,2025-06-29,G14,Baby Diapers,Baby Care,1200
143,2025-01-09,G18,Rice 2kg,Pantry,250
143,2025-01-09,G09,Tomato Sauce,Pantry,90
143,2025-01-09,G06,Tea Leaves,Beverages,200
143,2025-01-09,G19,Cooking Oil 1L,Pantry,300
144,2025-04-10,G18,Rice 2kg,Pantry,250
144,2025-04-10,G19,Cooking Oil 1L,Pantry,300
144,2025-04-10,G20,Onions 1kg,Produce,80
145,2025-02-21,G05,Coffee,Beverages,450
145,2025-02-21,G01,White Bread,Bakery,60
145,2025-02-21,G20,Onions 1kg,Produce,80
146,2025-02-12,G14,Baby Diapers,Baby Care,1200
147,2025-04-07,G01,White Bread,Bakery,60
147,2025-04-07,G02,Butter,Dairy,180
147,2025-04-07,G03,Milk 1L,Dairy,120
148,2025-04-08,G05,Coffee,Beverages,450
148,2025-04-08,G07,Sugar 1kg,Pantry,150
149,2025-01-21,G18,Rice 2kg,Pantry,250
149,2025-01-21,G19,Cooking Oil 1L,Pantry,300
149,2025-01-21,G20,Onions 1kg,Produce,80
150,2025-02-01,G11,Potato Chips,Snacks,150
150,2025-02-01,G12,Salsa Dip,Snacks,200
151,2025-04-10,G18,Rice 2kg,Pantry,250
151,2025-04-10,G19,Cooking Oil 1L,Pantry,300
151,2025-04-10,G20,Onions 1kg,Produce,80
152,2025-06-13,G01,White Bread,Bakery,60
152,2025-06-13,G02,Butter,Dairy,180
152,2025-06-13,G03,Milk 1L,Dairy,120
152,2025-06-13,G04,Eggs (Tray),Dairy,350
153,2025-04-30,G05,Coffee,Beverages,450
153,2025-04-30,G07,Sugar 1kg,Pantry,150
154,2025-01-07,G02,Butter,Dairy,180
154,2025-01-07,G10,Parmesan Cheese,Dairy,400
154,2025-01-07,G08,Pasta,Pantry,120
155,2025-01-21,G20,Onions 1kg,Produce,80
155,2025-01-21,G11,Potato Chips,Snacks,150
155,2025-01-21,G07,Sugar 1kg,Pantry,150
155,2025-01-21,G10,Parmesan Cheese,Dairy,400
156,2025-02-22,G04,Eggs (Tray),Dairy,350
156,2025-02-22,G03,Milk 1L,Dairy,120
157,2025-06-28,G13,Soda 2L,Beverages,150
157,2025-06-28,G16,Baby Wipes,Baby Care,350
157,2025-06-28,G04,Eggs (Tray),Dairy,350
157,2025-06-28,G18,Rice 2kg,Pantry,250
158,2025-04-28,G17,Baby Formula,Baby Care,1500
158,2025-04-28,G08,Pasta,Pantry,120
158,2025-04-28,G05,Coffee,Beverages,450
159,2025-06-03,G18,Rice 2kg,Pantry,250
159,2025-06-03,G19,Cooking Oil 1L,Pantry,300
159,2025-06-03,G20,Onions 1kg,Produce,80
160,2025-04-01,G19,Cooking Oil 1L,Pantry,300
161,2025-02-21,G07,Sugar 1kg,Pantry,150
161,2025-02-21,G20,Onions 1kg,Produce,80
161,2025-02-21,G12,Salsa Dip,Snacks,200
161,2025-02-21,G08,Pasta,Pantry,120
162,2025-01-31,G11,Potato Chips,Snacks,150
162,2025-01-31,G12,Salsa Dip,Snacks,200
163,2025-01-15,G08,Pasta,Pantry,120
163,2025-01-15,G15,Beer (6-Pack),Alcohol,800
164,2025-02-22,G08,Pasta,Pantry,120
164,2025-02-22,G09,Tomato Sauce,Pantry,90
164,2025-02-22,G10,Parmesan Cheese,Dairy,400
165,2025-05-29,G19,Cooking Oil 1L,Pantry,300
165,2025-05-29,G16,Baby Wipes,Baby Care,350
165,2025-05-29,G02,Butter,Dairy,180
165,2025-05-29,G12,Salsa Dip,Snacks,200
166,2025-06-29,G14,Baby Diapers,Baby Care,1200
167,2025-02-18,G18,Rice 2kg,Pantry,250
167,2025-02-18,G19,Cooking Oil 1L,Pantry,300
167,2025-02-18,G20,Onions 1kg,Produce,80
168,2025-05-14,G16,Baby Wipes,Baby Care,350
168,2025-05-14,G14,Baby Diapers,Baby Care,1200
169,2025-05-22,G14,Baby Diapers,Baby Care,1200
169,2025-05-22,G15,Beer (6-Pack),Alcohol,800
169,2025-05-22,G07,Sugar 1kg,Pantry,150
170,2025-05-31,G08,Pasta,Pantry,120
170,2025-05-31,G09,Tomato Sauce,Pantry,90
170,2025-05-31,G10,Parmesan Cheese,Dairy,400
170,2025-05-31,G03,Milk 1L,Dairy,120
171,2025-06-07,G16,Baby Wipes,Baby Care,350
171,2025-06-07,G14,Baby Diapers,Baby Care,1200
171,2025-06-07,G05,Coffee,Beverages,450
172,2025-03-17,G13,Soda 2L,Beverages,150
173,2025-06-22,G02,Butter,Dairy,180
173,2025-06-22,G20,Onions 1kg,Produce,80
174,2025-03-27,G11,Potato Chips,Snacks,150
174,2025-03-27,G12,Salsa Dip,Snacks,200
175,2025-01-04,G07,Sugar 1kg,Pantry,150
175,2025-01-04,G02,Butter,Dairy,180
175,2025-01-04,G15,Beer (6-Pack),Alcohol,800
175,2025-01-04,G12,Salsa Dip,Snacks,200
176,2025-04-05,G05,Coffee,Beverages,450
176,2025-04-05,G07,Sugar 1kg,Pantry,150
177,2025-03-15,G14,Baby Diapers,Baby Care,1200
177,2025-03-15,G15,Beer (6-Pack),Alcohol,800
178,2025-03-10,G08,Pasta,Pantry,120
178,2025-03-10,G09,Tomato Sauce,Pantry,90
178,2025-03-10,G10,Parmesan Cheese,Dairy,400
179,2025-03-29,G18,Rice 2kg,Pantry,250
179,2025-03-29,G19,Cooking Oil 1L,Pantry,300
179,2025-03-29,G20,Onions 1kg,Produce,80
180,2025-02-25,G08,Pasta,Pantry,120
180,2025-02-25,G14,Baby Diapers,Baby Care,1200
181,2025-01-30,G16,Baby Wipes,Baby Care,350
181,2025-01-30,G14,Baby Diapers,Baby Care,1200
181,2025-01-30,G17,Baby Formula,Baby Care,1500
182,2025-02-20,G08,Pasta,Pantry,120
182,2025-02-20,G09,Tomato Sauce,Pantry,90
183,2025-03-31,G05,Coffee,Beverages,450
183,2025-03-31,G07,Sugar 1kg,Pantry,150
184,2025-01-29,G11,Potato Chips,Snacks,150
184,2025-01-29,G12,Salsa Dip,Snacks,200
185,2025-05-29,G01,White Bread,Bakery,60
185,2025-05-29,G02,Butter,Dairy,180
185,2025-05-29,G03,Milk 1L,Dairy,120
186,2025-01-17,G14,Baby Diapers,Baby Care,1200
186,2025-01-17,G15,Beer (6-Pack),Alcohol,800
187,2025-01-19,G12,Salsa Dip,Snacks,200
187,2025-01-19,G11,Potato Chips,Snacks,150
187,2025-01-19,G01,White Bread,Bakery,60
188,2025-06-06,G01,White Bread,Bakery,60
188,2025-06-06,G02,Butter,Dairy,180
188,2025-06-06,G03,Milk 1L,Dairy,120
189,2025-04-01,G14,Baby Diapers,Baby Care,1200
189,2025-04-01,G15,Beer (6-Pack),Alcohol,800
190,2025-04-28,G16,Baby Wipes,Baby Care,350
190,2025-04-28,G01,White Bread,Bakery,60
190,2025-04-28,G08,Pasta,Pantry,120
190,2025-04-28,G03,Milk 1L,Dairy,120
191,2025-04-17,G11,Potato Chips,Snacks,150
192,2025-05-06,G14,Baby Diapers,Baby Care,1200
192,2025-05-06,G08,Pasta,Pantry,120
192,2025-05-06,G09,Tomato Sauce,Pantry,90
192,2025-05-06,G19,Cooking Oil 1L,Pantry,300
193,2025-02-21,G15,Beer (6-Pack),Alcohol,800
194,2025-05-08,G08,Pasta,Pantry,120
194,2025-05-08,G09,Tomato Sauce,Pantry,90
194,2025-05-08,G10,Parmesan Cheese,Dairy,400
195,2025-03-28,G08,Pasta,Pantry,120
195,2025-03-28,G09,Tomato Sauce,Pantry,90
195,2025-03-28,G10,Parmesan Cheese,Dairy,400
196,2025-02-25,G14,Baby Diapers,Baby Care,1200
196,2025-02-25,G15,Beer (6-Pack),Alcohol,800
197,2025-02-05,G01,White Bread,Bakery,60
197,2025-02-05,G02,Butter,Dairy,180
197,2025-02-05,G03,Milk 1L,Dairy,120
198,2025-06-23,G06,Tea Leaves,Beverages,200
198,2025-06-23,G07,Sugar 1kg,Pantry,150
199,2025-04-14,G14,Baby Diapers,Baby Care,1200
199,2025-04-14,G15,Beer (6-Pack),Alcohol,800
199,2025-04-14,G04,Eggs (Tray),Dairy,350
200,2025-05-03,G14,Baby Diapers,Baby Care,1200
200,2025-05-03,G15,Beer (6-Pack),Alcohol,800
201,2025-06-07,G08,Pasta,Pantry,120
201,2025-06-07,G09,Tomato Sauce,Pantry,90
202,2025-01-03,G16,Baby Wipes,Baby Care,350
202,2025-01-03,G14,Baby Diapers,Baby Care,1200
202,2025-01-03,G17,Baby Formula,Baby Care,1500
203,2025-05-14,G08,Pasta,Pantry,120
203,2025-05-14,G09,Tomato Sauce,Pantry,90
203,2025-05-14,G13,Soda 2L,Beverages,150
204,2025-03-29,G04,Eggs (Tray),Dairy,350
205,2025-01-06,G14,Baby Diapers,Baby Care,1200
205,2025-01-06,G15,Beer (6-Pack),Alcohol,800
206,2025-03-08,G13,Soda 2L,Beverages,150
207,2025-06-13,G08,Pasta,Pantry,120
207,2025-06-13,G09,Tomato Sauce,Pantry,90
208,2025-01-24,G18,Rice 2kg,Pantry,250
209,2025-02-27,G05,Coffee,Beverages,450
209,2025-02-27,G07,Sugar 1kg,Pantry,150
210,2025-04-06,G14,Baby Diapers,Baby Care,1200
211,2025-03-22,G10,Parmesan Cheese,Dairy,400
212,2025-04-21,G03,Milk 1L,Dairy,120
213,2025-05-17,G11,Potato Chips,Snacks,150
213,2025-05-17,G13,Soda 2L,Beverages,150
213,2025-05-17,G14,Baby Diapers,Baby Care,1200
214,2025-02-07,G15,Beer (6-Pack),Alcohol,800
214,2025-02-07,G01,White Bread,Bakery,60
215,2025-03-16,G08,Pasta,Pantry,120
215,2025-03-16,G09,Tomato Sauce,Pantry,90
216,2025-06-19,G11,Potato Chips,Snacks,150
216,2025-06-19,G12,Salsa Dip,Snacks,200
217,2025-02-26,G13,Soda 2L,Beverages,150
217,2025-02-26,G14,Baby Diapers,Baby Care,1200
217,2025-02-26,G07,Sugar 1kg,Pantry,150
218,2025-05-24,G01,White Bread,Bakery,60
218,2025-05-24,G13,Soda 2L,Beverages,150
218,2025-05-24,G16,Baby Wipes,Baby Care,350
219,2025-05-30,G18,Rice 2kg,Pantry,250
