employee_id,department,years_of_experience,monthly_salary_kes,training_hours_per_year,num_direct_reports,performance_score
35,Operations,0.5,75059.0,32.3,0.0,
36,Operations,8.6,86614.0,28.3,0.0,4.4
37,Finance,10.0,164260.0,50.6,-0.0,4.0
38,Engineering,3.0,72930.0,48.7,-0.0,2.1
39,Engineering,14.6,187683.0,41.5,0.0,3.0
40,HR,1.1,48983.0,35.7,-0.0,3.6
41,Engineering,14.2,234524.0,44.9,10.0,1.9
42,Finance,7.6,107254.0,27.7,-0.0,2.5
43,Sales,14.5,90925.0,25.5,0.0,2.8
44,Operations,3.6,156680.0,36.0,0.0,4.3
45,Finance,9.7,114053.0,21.4,1.0,3.3
46,HR,10.9,270313.0,43.3,10.0,3.2
47,Engineering,8.1,95385.0,23.1,1.0,4.5
48,Sales,19.1,300001.0,33.5,9.0,4.3
49,Engineering,1.7,48756.0,37.6,-0.0,3.8
50,Engineering,8.0,159351.0,12.8,2.0,3.2
51,Sales,12.2,402831.0,40.7,10.0,5.0
52,Operations,3.6,120034.0,1.6,0.0,4.0
53,Operations,0.9,59592.0,37.7,0.0,5.0
54,Operations,2.3,81438.0,35.2,0.0,4.2
55,HR,2.1,45645.0,26.8,0.0,3.7
56,Finance,12.0,164380.0,58.5,1.0,3.9
57,Operations,1.8,54915.0,38.8,-0.0,3.2
58,HR,2.1,57818.0,40.5,0.0,5.0
59,Engineering,7.8,136830.0,28.4,2.0,3.2
60,Operations,2.8,65248.0,32.9,0.0,3.7
61,Engineering,6.0,94254.0,23.3,2.0,3.0
62,Engineering,12.4,85526.0,36.7,0.0,1.9
63,Sales,2.2,121212.0,71.0,0.0,2.8
64,HR,6.0,97622.0,2.1,-0.0,4.2
65,Operations,10.3,95940.0,37.3,2.0,3.7
66,Finance,16.2,296199.0,33.5,11.0,2.3
67,Engineering,11.0,183866.0,70.4,-0.0,1.9
68,Operations,4.0,157827.0,82.7,0.0,4.3
69,Sales,16.6,394043.0,46.4,9.0,4.4
70,Finance,2.7,84341.0,10.2,0.0,3.9
71,Sales,9.1,102787.0,0.0,1.0,3.2
72,Sales,0.7,73666.0,31.0,-0.0,3.1
73,Operations,0.6,73405.0,20.2,-0.0,2.1
74,Operations,4.8,133807.0,15.7,1.0,4.1
75,Finance,7.9,144953.0,35.1,-0.0,3.1
76,Sales,3.2,72675.0,40.4,0.0,3.9
77,Engineering,8.0,76466.0,3.4,0.0,3.9
78,Engineering,8.7,74914.0,12.2,1.0,3.2
79,Finance,6.3,124916.0,14.0,2.0,2.3
80,Sales,7.2,48636.0,11.7,2.0,5.0
81,Operations,1.9,53879.0,48.5,-0.0,4.2
82,Operations,15.5,219533.0,30.7,12.0,2.0
83,Engineering,8.0,113632.0,18.9,2.0,2.7
84,Engineering,0.7,78607.0,20.1,-0.0,2.6
85,Finance,0.8,72227.0,32.0,0.0,3.5
86,Operations,1.1,69575.0,37.7,-0.0,1.7
87,Operations,9.6,120487.0,23.6,3.0,3.1
88,HR,16.1,315102.0,38.0,9.0,2.1
89,Operations,2.5,118999.0,40.5,0.0,3.7
90,Sales,9.4,123544.0,35.9,2.0,4.4
91,Sales,10.3,122795.0,61.1,-0.0,4.0
92,Finance,9.4,152753.0,20.4,0.0,4.8
93,Sales,1.7,81256.0,34.4,-0.0,1.6
94,Engineering,6.9,105128.0,5.1,0.0,3.4
95,Finance,3.2,52870.0,29.4,0.0,3.4
96,Operations,10.1,228811.0,32.9,6.0,2.7
97,Engineering,2.4,51072.0,20.2,0.0,5.0
98,Operations,5.9,109578.0,37.7,0.0,3.9
99,Operations,5.5,80945.0,4.2,-0.0,2.8
100,HR,1.2,61211.0,35.1,-0.0,2.5
101,Engineering,9.4,236865.0,58.6,1.0,3.1
102,HR,1.6,57160.0,39.1,0.0,3.3
103,Engineering,11.9,97861.0,1.2,0.0,3.2
104,Operations,0.3,71135.0,14.6,-0.0,
105,Sales,9.4,101269.0,27.9,0.0,2.9
106,Sales,9.3,61952.0,24.4,1.0,3.7
107,Engineering,10.9,162739.0,55.2,1.0,3.4
108,Engineering,5.3,81316.0,7.0,0.0,3.9
109,Engineering,5.5,123408.0,29.1,2.0,3.4
110,Engineering,7.7,132593.0,16.0,2.0,4.4
111,Finance,12.5,155423.0,45.9,0.0,3.9
112,Operations,12.0,166499.0,62.8,1.0,2.0
113,Engineering,9.5,98512.0,3.1,1.0,2.8
114,Engineering,6.5,45402.0,5.0,1.0,1.7
115,Sales,7.7,89141.0,28.1,2.0,2.9
116,Sales,0.9,72019.0,36.2,0.0,3.0
117,Sales,11.0,73129.0,3.1,-0.0,3.3
118,Sales,2.9,51098.0,36.2,-0.0,4.1
119,Sales,7.6,65010.0,2.6,0.0,3.9
120,Operations,1.6,66361.0,8.2,-0.0,2.3
121,Operations,4.4,81412.0,6.6,1.0,3.5
122,Operations,0.4,77174.0,29.7,-0.0,
123,Engineering,5.7,147470.0,30.9,-0.0,3.8
124,Engineering,16.8,268583.0,23.4,10.0,3.4
125,Engineering,12.2,172690.0,72.2,-0.0,3.5
126,Operations,1.3,39683.0,27.7,-0.0,5.0
127,Sales,3.9,92910.0,29.8,2.0,3.6
128,Finance,0.2,76621.0,17.9,-0.0,
129,Sales,4.8,160170.0,11.7,0.0,2.2
130,Engineering,1.1,64538.0,12.9,-0.0,2.7
131,Operations,8.7,149587.0,32.1,2.0,3.5
132,Finance,6.0,119889.0,25.3,-0.0,2.7
133,Engineering,4.5,145449.0,27.0,1.0,4.1
134,Operations,4.3,157968.0,23.5,2.0,3.8
135,Engineering,1.9,58129.0,38.6,-0.0,4.2
136,Finance,8.6,123678.0,29.5,1.0,3.2
137,HR,7.5,112236.0,0.0,-0.0,3.7
138,Sales,7.6,81783.0,6.0,1.0,1.7
139,Operations,11.1,148537.0,25.5,0.0,5.0
140,Engineering,15.6,142550.0,77.1,-0.0,2.6
141,Sales,8.6,207342.0,41.7,-0.0,3.3
142,Operations,2.5,118442.0,14.0,1.0,2.9
143,Engineering,16.3,302288.0,17.5,8.0,4.2
144,Sales,8.8,147573.0,26.9,1.0,4.9
145,Operations,13.0,139483.0,51.8,1.0,2.7
146,Engineering,0.6,83395.0,64.8,-0.0,2.6
147,Sales,1.1,77578.0,29.4,-0.0,4.3
148,Finance,16.2,297811.0,22.3,11.0,3.1
149,Finance,6.9,145268.0,3.8,0.0,3.9
150,Operations,11.5,357421.0,46.4,7.0,4.6
151,Engineering,15.6,342208.0,51.7,6.0,5.0
152,Engineering,3.4,101893.0,26.2,2.0,2.7
153,Sales,1.6,69375.0,25.1,-0.0,2.8
154,Sales,9.5,85965.0,19.1,0.0,3.1
155,HR,3.0,53414.0,29.2,-0.0,4.4
156,Finance,22.3,326627.0,42.1,8.0,4.1
157,Operations,4.8,90485.0,6.0,0.0,2.8
158,Sales,7.3,93174.0,22.5,0.0,1.6
159,Engineering,27.5,236843.0,37.2,11.0,3.9
160,Operations,7.4,156835.0,32.4,0.0,1.9
161,Sales,2.9,56722.0,31.3,0.0,4.2
162,Sales,3.2,73839.0,54.1,-0.0,3.6
163,Operations,7.4,148437.0,25.8,2.0,2.1
164,Finance,0.6,55295.0,32.0,0.0,3.7
165,Finance,0.1,71651.0,48.3,-0.0,
166,Engineering,1.3,85518.0,37.9,-0.0,3.7
167,Engineering,11.3,176202.0,28.2,0.0,2.8
168,Sales,9.4,112505.0,0.0,1.0,2.7
169,Operations,8.3,118548.0,14.3,4.0,2.7
170,Sales,17.3,250134.0,23.5,15.0,3.9
171,Sales,8.0,121969.0,16.8,2.0,2.5
172,Engineering,0.9,71406.0,46.1,0.0,2.9
173,Operations,5.8,138135.0,36.5,-0.0,4.0
174,Sales,2.9,46736.0,16.5,-0.0,3.0
175,Finance,8.3,90153.0,26.5,5.0,1.3
176,Finance,9.2,84523.0,16.8,1.0,3.0
177,Sales,12.0,180243.0,74.8,0.0,2.6
178,HR,10.1,81614.0,16.5,2.0,3.3
179,HR,1.7,58211.0,46.5,-0.0,2.9
180,Operations,2.0,71983.0,26.6,-0.0,2.7
181,Finance,5.3,85660.0,5.9,1.0,2.7
182,Sales,9.2,108681.0,8.9,0.0,2.4
183,Sales,14.0,283646.0,39.3,9.0,3.1
184,Sales,6.8,98761.0,14.4,3.0,4.3
185,Engineering,0.0,76757.0,34.3,-0.0,
186,Engineering,0.3,72255.0,27.9,-0.0,
187,Operations,6.0,148754.0,17.0,1.0,3.9
188,Finance,3.0,62174.0,28.6,-0.0,2.1
189,Finance,5.2,172010.0,55.4,0.0,2.3
190,Finance,9.3,73656.0,2.4,1.0,4.2
191,HR,17.5,216717.0,53.9,12.0,2.5
192,Engineering,9.7,184663.0,87.0,1.0,4.1
193,Sales,17.2,283730.0,33.1,7.0,2.9
194,Finance,1.0,75453.0,37.4,-0.0,4.9
195,Engineering,5.5,121464.0,26.7,2.0,3.2
196,Sales,6.8,107735.0,28.4,1.0,3.0
197,Engineering,0.1,68330.0,43.6,-0.0,
198,Engineering,3.3,85839.0,4.9,0.0,3.2
199,Finance,2.2,69338.0,40.6,-0.0,3.7
200,Sales,8.8,80187.0,37.4,1.0,4.7
201,Operations,6.1,167473.0,53.6,0.0,2.5
202,Operations,15.7,341435.0,37.4,11.0,2.1
203,Operations,11.9,113218.0,27.1,2.0,3.3
204,Engineering,4.5,129306.0,5.6,-0.0,4.4
205,Engineering,1.7,58132.0,17.6,0.0,3.9
206,Engineering,1.1,61815.0,33.5,0.0,3.1
207,Sales,0.0,74569.0,40.5,0.0,
208,HR,13.1,270141.0,31.1,6.0,2.1
209,Sales,17.2,357876.0,39.4,9.0,4.0
210,Engineering,2.0,71177.0,36.6,-0.0,3.4
211,Operations,1.8,80858.0,28.6,0.0,3.1
212,Finance,0.0,65865.0,35.4,-0.0,
213,Sales,7.5,117489.0,23.5,2.0,4.1
214,Finance,10.5,85867.0,17.3,1.0,3.1
215,Sales,2.5,101589.0,22.8,3.0,3.4
216,Engineering,1.5,136350.0,34.5,1.0,3.3
217,Engineering,1.8,72268.0,40.5,0.0,2.7
218,Engineering,1.3,59262.0,51.2,0.0,1.6
219,Engineering,20.2,178153.0,29.7,10.0,3.0
220,Engineering,4.9,84442.0,2.7,1.0,2.8
221,Sales,8.6,152475.0,66.3,0.0,3.0
222,Sales,1.5,53220.0,45.3,0.0,4.1
223,Finance,12.9,129161.0,24.7,2.0,2.9
224,Engineering,3.2,144332.0,19.6,1.0,3.0
225,Engineering,7.1,96098.0,3.9,1.0,3.7
226,Engineering,11.6,181493.0,23.3,2.0,4.0
227,Engineering,1.9,134342.0,59.1,0.0,4.1
228,HR,11.6,203003.0,54.0,0.0,1.0
229,Operations,9.3,277669.0,29.0,8.0,2.5
230,Sales,6.0,70410.0,27.7,-0.0,3.7
231,Operations,5.3,101751.0,19.3,1.0,3.5
232,Operations,5.6,84572.0,10.1,1.0,2.3
233,Operations,2.5,51356.0,27.4,-0.0,4.1
234,Engineering,9.1,55072.0,0.0,1.0,4.0
235,Finance,17.1,297337.0,53.8,5.0,3.5
236,Operations,4.6,64697.0,3.3,1.0,3.2
237,HR,11.8,143843.0,23.9,2.0,3.8
238,Finance,0.9,30516.0,55.0,0.0,4.1
239,Operations,23.3,318566.0,46.8,6.0,4.7
240,Engineering,4.0,65960.0,25.0,1.0,2.8
241,Engineering,4.0,106679.0,8.5,1.0,3.3
242,Operations,6.3,100032.0,27.4,0.0,3.2
243,Finance,3.6,88941.0,29.5,1.0,4.3
244,Finance,7.8,151643.0,32.8,0.0,4.3
245,Sales,4.3,57494.0,1.2,1.0,4.9
246,Sales,0.4,58443.0,43.2,-0.0,
247,HR,11.5,125201.0,21.2,2.0,3.5
248,HR,6.2,91547.0,27.7,1.0,3.1
249,HR,6.1,80547.0,24.3,0.0,3.1
250,Finance,6.7,87928.0,24.4,-0.0,3.2
251,Engineering,1.9,69692.0,18.0,0.0,3.7
252,Operations,3.4,96911.0,4.4,1.0,3.4
253,Operations,5.4,161552.0,21.4,1.0,2.5
254,Operations,8.7,180494.0,61.3,1.0,3.6
255,Engineering,1.5,68380.0,35.8,0.0,3.2
256,HR,14.7,132104.0,58.7,-0.0,2.7
257,Sales,11.7,132510.0,34.3,-0.0,3.7
258,Engineering,0.0,58412.0,31.8,-0.0,
259,Operations,11.3,283267.0,38.4,7.0,1.6
260,Operations,6.9,107691.0,26.5,1.0,2.3
261,Finance,4.0,76658.0,8.2,-0.0,2.3
262,Sales,7.8,155077.0,35.0,2.0,3.2
263,Sales,18.0,281342.0,31.7,18.0,1.5
264,HR,12.6,148820.0,41.4,0.0,3.8
265,Sales,1.7,57422.0,40.6,-0.0,2.3
266,Sales,7.2,122702.0,14.0,1.0,4.6
267,Engineering,3.7,129492.0,51.1,-0.0,1.9
268,Sales,10.9,65168.0,10.1,0.0,3.3
269,Finance,11.2,134343.0,25.3,1.0,3.8
270,Engineering,12.7,100983.0,20.6,-0.0,3.4
271,Operations,7.1,88185.0,33.6,1.0,3.1
272,HR,7.7,124452.0,33.5,-0.0,2.8
273,Sales,9.2,90095.0,24.9,-0.0,4.4
274,Sales,8.9,99016.0,5.0,0.0,3.1
275,HR,6.5,171189.0,62.0,1.0,3.8
276,Sales,17.0,236607.0,39.8,10.0,2.9
277,Sales,1.5,56890.0,34.1,-0.0,2.4
278,Operations,0.0,179161.0,52.8,0.0,
279,Finance,11.0,127816.0,35.2,-0.0,3.8
280,Sales,12.2,103110.0,11.6,0.0,4.8
281,Engineering,0.8,63902.0,25.6,-0.0,4.1
282,Engineering,10.8,121969.0,14.7,2.0,3.9
283,Sales,0.5,83580.0,26.4,-0.0,1.9
284,Sales,2.9,97947.0,0.0,1.0,1.5
285,Sales,1.3,66954.0,39.5,0.0,2.4
286,Finance,9.0,149137.0,22.1,2.0,3.6
287,Sales,7.9,136816.0,0.8,0.0,5.0
288,Operations,1.1,94557.0,0.7,0.0,3.0
289,Finance,4.6,94397.0,11.4,1.0,3.9
290,Engineering,8.6,160897.0,66.0,1.0,5.0
291,Engineering,1.2,54072.0,27.2,0.0,3.4
292,Engineering,5.0,88901.0,7.0,0.0,3.3
293,Operations,1.0,56598.0,26.6,-0.0,4.8
294,Sales,2.4,53168.0,29.0,-0.0,3.3
295,Engineering,12.5,130598.0,40.3,-0.0,2.9
296,Operations,24.4,251941.0,39.1,7.0,4.1
297,Engineering,11.0,174642.0,53.8,0.0,3.2
298,Engineering,2.4,72031.0,27.2,0.0,3.8
299,Sales,8.9,83646.0,3.1,2.0,3.1
300,Operations,0.9,54288.0,23.4,-0.0,2.5
301,Engineering,15.8,288653.0,18.4,9.0,1.3
302,HR,1.6,52797.0,59.2,-0.0,2.3
303,Operations,1.4,57408.0,34.7,-0.0,4.4
304,Operations,11.6,150187.0,29.5,1.0,4.9
305,Finance,20.5,208263.0,28.0,10.0,3.1
306,Sales,5.2,139400.0,0.0,0.0,3.3
307,Sales,19.7,227239.0,49.9,9.0,4.3
308,HR,0.6,53507.0,53.7,0.0,2.4
309,Sales,3.5,78419.0,0.0,-0.0,3.9
310,HR,5.3,202011.0,51.9,0.0,3.8
311,Operations,22.7,226633.0,30.8,8.0,4.0
312,Engineering,0.0,68987.0,0.0,1.0,
313,Sales,1.0,61376.0,35.4,-0.0,4.1
314,Operations,9.6,122880.0,24.7,1.0,3.2
315,Sales,18.0,298091.0,46.3,11.0,1.6
316,Sales,5.4,102749.0,11.4,0.0,2.8
317,Engineering,10.8,139496.0,25.2,1.0,3.5
318,Operations,5.8,64935.0,95.1,0.0,5.0
319,Sales,6.7,131477.0,10.0,1.0,2.4
320,Finance,2.3,59405.0,42.6,-0.0,4.1
321,Engineering,1.7,63429.0,35.3,-0.0,3.1
322,Sales,9.6,71352.0,22.2,0.0,2.8
323,Sales,19.6,227718.0,22.7,4.0,3.0
324,Sales,7.8,109643.0,37.9,3.0,2.8
325,HR,9.6,140019.0,42.4,1.0,1.8
326,Sales,9.4,102075.0,31.8,1.0,4.3
327,Operations,16.4,128000.0,24.9,2.0,4.4
328,Finance,16.8,369858.0,39.8,8.0,3.7
329,Sales,1.5,64278.0,40.6,0.0,2.4
330,Engineering,12.5,97217.0,48.7,0.0,2.2
331,Sales,9.7,168232.0,11.5,0.0,2.6
332,Sales,0.6,69819.0,32.6,-0.0,2.5
333,Engineering,9.2,159711.0,70.0,0.0,2.0
334,Sales,4.1,55213.0,45.2,-0.0,1.9
335,Operations,1.6,53230.0,51.5,-0.0,3.3
336,Finance,16.3,160374.0,51.9,-0.0,3.1
337,Engineering,1.8,71026.0,51.7,-0.0,3.2
338,Finance,4.3,108487.0,13.5,2.0,1.5
339,Finance,18.9,218263.0,35.5,13.0,2.9
340,Sales,7.0,120427.0,23.3,1.0,4.9
341,Finance,4.7,174439.0,42.7,1.0,2.6
342,Sales,8.6,119778.0,0.0,1.0,4.2
343,Operations,11.2,154626.0,27.8,2.0,3.4
344,Engineering,8.8,146841.0,28.1,0.0,4.9
345,Sales,2.3,82408.0,0.7,0.0,2.6
346,Sales,2.7,114853.0,61.0,1.0,5.0
347,HR,6.8,124371.0,28.2,2.0,3.5
348,Sales,2.0,64986.0,33.1,0.0,1.1
349,Operations,7.0,130790.0,24.9,0.0,4.9
350,Engineering,0.0,61674.0,31.1,0.0,
351,Sales,7.0,174065.0,85.6,0.0,4.2
352,Engineering,17.7,393041.0,40.0,13.0,3.1
353,HR,7.3,135296.0,99.4,1.0,2.8
354,Engineering,13.4,63988.0,34.3,1.0,3.4
355,Operations,16.7,205683.0,29.1,10.0,2.1
356,HR,2.1,148136.0,31.2,0.0,2.0
357,Operations,12.7,110116.0,45.5,-0.0,4.0
358,Engineering,5.9,140110.0,68.0,0.0,2.4
359,Operations,16.0,146022.0,29.4,0.0,3.7
360,Operations,14.7,115949.0,22.0,1.0,3.3
361,Engineering,7.9,127621.0,24.7,-0.0,1.3
362,Engineering,11.3,174174.0,38.5,0.0,3.9
363,Engineering,8.6,81683.0,0.0,1.0,1.4
364,HR,9.4,90037.0,34.1,3.0,3.8
365,Finance,3.0,47962.0,43.3,-0.0,2.7
366,Sales,5.6,88467.0,9.8,2.0,3.3
367,Engineering,8.4,85740.0,25.9,0.0,3.5
368,Finance,9.4,125179.0,20.2,2.0,2.7
369,Sales,1.3,68736.0,38.3,0.0,3.5
370,Finance,6.1,124637.0,23.7,1.0,3.1
371,Engineering,1.6,51553.0,55.9,0.0,3.0
372,Sales,1.6,79400.0,25.3,0.0,4.6
373,Finance,11.3,145626.0,58.5,1.0,3.8
374,Operations,8.7,102753.0,29.8,-0.0,2.4
375,Sales,4.7,63209.0,23.1,2.0,3.2
376,Operations,5.0,64994.0,3.8,1.0,2.6
377,Finance,4.7,92060.0,3.8,1.0,5.0
378,Sales,0.5,115673.0,27.3,0.0,2.6
379,Sales,18.7,341869.0,28.8,9.0,3.1
380,Finance,4.7,150036.0,63.9,0.0,3.3
381,Sales,1.3,40458.0,22.6,-0.0,4.1
382,Sales,1.8,78884.0,46.4,-0.0,4.5
383,Finance,0.0,53123.0,43.6,-0.0,
384,Finance,0.7,62728.0,40.2,0.0,2.4
385,HR,0.4,88595.0,47.1,-0.0,
386,Operations,0.3,68061.0,42.5,-0.0,
387,HR,20.0,387275.0,42.2,5.0,4.3
388,Operations,14.2,108330.0,30.9,0.0,3.4
389,Engineering,5.6,111190.0,7.4,-0.0,4.4
390,HR,12.9,246030.0,58.6,11.0,2.6
391,Operations,10.6,118033.0,32.1,1.0,3.7
392,Finance,8.0,123301.0,9.8,-0.0,4.1
393,Finance,8.7,144133.0,13.5,-0.0,4.2
394,Operations,1.4,65900.0,35.2,0.0,3.6
395,Finance,1.8,51321.0,31.6,0.0,3.2
396,Operations,16.3,177354.0,74.3,0.0,4.4
397,Operations,6.7,199216.0,63.6,-0.0,4.5
398,Operations,7.3,115079.0,15.4,1.0,4.6
399,Engineering,4.4,104273.0,7.0,-0.0,4.6
400,HR,7.2,105614.0,27.8,-0.0,2.9
401,Engineering,2.6,56498.0,31.0,-0.0,3.1
402,Engineering,0.9,61390.0,40.6,0.0,3.0
403,Engineering,5.1,117262.0,7.1,0.0,3.2
404,Operations,12.6,279027.0,44.0,5.0,3.3
405,Sales,13.7,127253.0,13.9,3.0,2.9
406,Finance,1.9,64201.0,35.6,0.0,3.5
407,HR,16.5,123966.0,35.9,0.0,3.5
408,Sales,7.3,132033.0,21.6,4.0,3.7
409,Operations,6.4,204732.0,48.2,0.0,3.6
410,Sales,4.0,150302.0,31.2,1.0,3.2
411,Finance,5.2,73783.0,2.0,0.0,3.3
412,Operations,7.0,112679.0,22.9,1.0,5.0
413,HR,12.6,124776.0,26.9,1.0,2.8
414,Finance,1.4,82552.0,23.0,0.0,3.5
415,Sales,2.1,142275.0,38.3,1.0,5.0
416,Sales,0.0,55166.0,47.1,-0.0,
417,Operations,2.3,92237.0,20.6,-0.0,2.6
418,Operations,3.5,124844.0,30.7,0.0,2.3
419,Engineering,1.5,68563.0,41.9,-0.0,4.2
420,Engineering,5.8,124378.0,37.9,-0.0,3.6
421,Operations,4.7,137733.0,23.5,3.0,3.8
422,Sales,6.9,108169.0,27.4,1.0,3.6
423,Sales,9.1,341183.0,49.9,13.0,4.1
424,Finance,2.5,93960.0,7.5,0.0,4.1
425,Engineering,10.1,259903.0,30.7,13.0,2.3
426,Operations,12.6,92638.0,50.3,0.0,3.3
427,Sales,5.6,111121.0,29.1,1.0,4.6
428,Operations,1.4,54597.0,30.1,0.0,4.5
429,Engineering,12.5,370644.0,45.7,5.0,4.3
430,Finance,0.4,36837.0,50.3,0.0,
431,Engineering,1.6,56003.0,26.3,0.0,3.9
432,Finance,9.6,101760.0,22.1,1.0,2.8
433,Sales,3.2,140429.0,69.2,0.0,3.7
434,Finance,12.2,342709.0,31.9,9.0,3.4
435,Engineering,0.6,50805.0,24.0,1.0,4.2
436,Sales,9.9,185861.0,42.9,2.0,3.0
437,HR,19.6,216056.0,64.3,7.0,3.0
438,Finance,1.3,52974.0,24.4,0.0,3.0
439,Finance,7.7,125343.0,16.4,2.0,4.7
440,Sales,5.2,104360.0,8.7,0.0,3.8
441,Engineering,3.7,112236.0,2.7,1.0,4.3
442,Sales,3.3,57814.0,36.3,0.0,2.6
443,Engineering,0.0,38419.0,9.1,0.0,
444,Sales,5.9,164177.0,52.2,0.0,4.5
445,Finance,2.6,67910.0,36.5,-0.0,2.9
446,HR,1.5,82885.0,37.6,0.0,5.0
447,Sales,14.1,121786.0,72.0,0.0,2.0
448,Operations,2.0,25000.0,32.5,-0.0,3.7
449,Operations,3.3,85287.0,25.6,-0.0,4.6
450,Engineering,13.0,112116.0,56.8,0.0,1.1
451,Sales,10.6,96090.0,30.7,0.0,3.9
452,Finance,15.8,283863.0,43.0,10.0,3.5
453,Sales,6.1,109645.0,18.6,-0.0,2.0
454,Operations,16.7,165575.0,45.4,0.0,3.4
455,HR,14.3,200680.0,75.6,-0.0,5.0
456,Engineering,1.4,111656.0,2.9,0.0,2.6
457,Sales,1.3,57901.0,27.7,0.0,3.5
458,Operations,3.3,251922.0,58.4,0.0,2.6
459,Engineering,3.0,101108.0,23.8,-0.0,3.2
460,Operations,16.5,165609.0,40.3,-0.0,4.3
461,HR,18.3,252105.0,40.9,7.0,3.8
462,Sales,0.2,54410.0,33.4,0.0,
463,Finance,12.3,226643.0,35.1,11.0,4.0
464,HR,1.3,74837.0,27.4,0.0,3.5
465,HR,14.0,126094.0,27.1,1.0,4.2
466,Sales,1.5,41991.0,25.3,-0.0,2.2
467,Operations,14.7,49371.0,38.0,1.0,4.5
468,Engineering,4.8,125196.0,28.0,3.0,3.2
469,Engineering,7.3,100471.0,18.7,2.0,2.5
470,Engineering,3.3,101903.0,10.5,0.0,4.0
471,Finance,6.8,125245.0,31.4,1.0,2.9
472,Sales,7.1,130857.0,9.2,1.0,2.6
473,HR,11.7,153452.0,31.3,1.0,5.0
474,Engineering,16.5,113229.0,16.5,3.0,3.4
475,Sales,2.1,63321.0,32.7,0.0,3.1
476,Finance,3.0,132910.0,27.8,4.0,2.8
477,Engineering,5.9,141023.0,24.2,2.0,3.3
478,Operations,1.5,42573.0,32.8,-0.0,4.1
479,Sales,0.4,67521.0,29.6,-0.0,
480,Engineering,5.4,101616.0,0.0,1.0,3.5
481,Operations,5.5,82865.0,7.4,0.0,4.6
482,Sales,6.0,121645.0,18.1,1.0,2.9
483,HR,1.3,76911.0,50.2,0.0,3.0
484,Operations,0.6,55344.0,51.9,0.0,3.1
485,Operations,1.3,47421.0,23.5,0.0,3.9
486,Operations,0.7,54848.0,35.3,-0.0,3.1
487,Finance,8.5,127907.0,24.4,1.0,4.9
488,Engineering,9.1,172430.0,43.9,1.0,3.5
489,Engineering,8.1,101058.0,20.2,1.0,3.3
490,Sales,16.1,102963.0,12.4,1.0,4.3
491,Operations,7.7,145221.0,21.4,2.0,5.0
492,Engineering,1.1,56543.0,51.7,0.0,2.6
493,Operations,1.2,113994.0,27.6,1.0,4.9
494,HR,1.9,65373.0,45.1,0.0,4.9
495,Operations,14.0,190913.0,32.3,1.0,1.6
496,Sales,2.0,81764.0,39.3,-0.0,3.3
497,Engineering,2.0,68663.0,35.3,-0.0,3.5
498,Engineering,1.2,50447.0,35.0,-0.0,1.8
499,Sales,0.4,47617.0,9.7,0.0,
500,Engineering,24.6,264734.0,59.5,8.0,2.9
501,Engineering,5.7,78993.0,10.8,2.0,3.4
502,HR,3.1,61035.0,18.5,-0.0,4.0
503,Sales,3.5,163491.0,63.2,0.0,3.4
504,HR,10.1,105149.0,5.5,0.0,4.4
505,Engineering,9.9,94176.0,0.0,1.0,3.5
506,Operations,0.8,54750.0,25.2,0.0,3.3
507,Operations,15.9,206756.0,48.4,0.0,2.2
508,HR,16.6,165791.0,50.9,0.0,2.4
509,Sales,8.3,146023.0,28.3,1.0,4.2
510,Finance,6.5,154797.0,22.7,1.0,4.1
