receipt_id,transaction_date,item_id,item_name,category,price_kes
26,2025-03-31,D02,Ibuprofen,Pain Relief,150
26,2025-03-31,D13,Antiseptic Cream,First Aid,200
27,2025-02-13,D17,Reading Puzzle Book,Stationery/Leisure,300
27,2025-02-13,D13,Antiseptic Cream,First Aid,200
27,2025-02-13,D16,Multivitamin Gummies,Supplements,500
28,2025-04-22,D16,Multivitamin Gummies,Supplements,500
29,2025-06-09,D08,Sunscreen SPF50,Skincare,800
29,2025-06-09,D09,Aloe Vera Gel,Skincare,350
30,2025-02-02,D06,Hand Sanitizer,Hygiene,150
30,2025-02-02,D07,Face Masks,Hygiene,200
31,2025-05-07,D14,Baby Lotion,Baby Care,350
31,2025-05-07,D09,Aloe Vera Gel,Skincare,350
31,2025-05-07,D01,Paracetamol,Pain Relief,100
31,2025-05-07,D11,Eye Drops,Vision,250
32,2025-05-08,D13,Antiseptic Cream,First Aid,200
32,2025-05-08,D12,Bandages,First Aid,150
32,2025-05-08,D16,Multivitamin Gummies,Supplements,500
33,2025-06-30,D12,Bandages,First Aid,150
33,2025-06-30,D13,Antiseptic Cream,First Aid,200
34,2025-05-22,D08,Sunscreen SPF50,Skincare,800
34,2025-05-22,D09,Aloe Vera Gel,Skincare,350
34,2025-05-22,D16,Multivitamin Gummies,Supplements,500
35,2025-05-09,D12,Bandages,First Aid,150
36,2025-01-11,D02,Ibuprofen,Pain Relief,150
37,2025-06-13,D06,Hand Sanitizer,Hygiene,150
37,2025-06-13,D07,Face Masks,Hygiene,200
38,2025-02-20,D17,Reading Puzzle Book,Stationery/Leisure,300
38,2025-02-20,D13,Antiseptic Cream,First Aid,200
38,2025-02-20,D14,Baby Lotion,Baby Care,350
39,2025-03-26,D02,Ibuprofen,Pain Relief,150
39,2025-03-26,D05,Vitamin C Tablets,Supplements,400
40,2025-05-22,D14,Baby Lotion,Baby Care,350
40,2025-05-22,D15,Baby Diapers,Baby Care,1200
41,2025-05-10,D06,Hand Sanitizer,Hygiene,150
42,2025-05-14,D13,Antiseptic Cream,First Aid,200
42,2025-05-14,D09,Aloe Vera Gel,Skincare,350
43,2025-01-06,D02,Ibuprofen,Pain Relief,150
43,2025-01-06,D07,Face Masks,Hygiene,200
44,2025-05-13,D06,Hand Sanitizer,Hygiene,150
44,2025-05-13,D07,Face Masks,Hygiene,200
45,2025-03-11,D02,Ibuprofen,Pain Relief,150
45,2025-03-11,D05,Vitamin C Tablets,Supplements,400
46,2025-05-11,D12,Bandages,First Aid,150
46,2025-05-11,D13,Antiseptic Cream,First Aid,200
46,2025-05-11,D09,Aloe Vera Gel,Skincare,350
47,2025-04-02,D06,Hand Sanitizer,Hygiene,150
47,2025-04-02,D07,Face Masks,Hygiene,200
48,2025-04-09,D04,Tissues,Cold Remedy,100
48,2025-04-09,D07,Face Masks,Hygiene,200
49,2025-06-02,D12,Bandages,First Aid,150
49,2025-06-02,D13,Antiseptic Cream,First Aid,200
50,2025-06-27,D13,Antiseptic Cream,First Aid,200
51,2025-04-08,D14,Baby Lotion,Baby Care,350
52,2025-06-09,D14,Baby Lotion,Baby Care,350
52,2025-06-09,D15,Baby Diapers,Baby Care,1200
53,2025-05-30,D10,Reading Glasses,Vision,600
53,2025-05-30,D17,Reading Puzzle Book,Stationery/Leisure,300
54,2025-05-13,D17,Reading Puzzle Book,Stationery/Leisure,300
54,2025-05-13,D04,Tissues,Cold Remedy,100
54,2025-05-13,D10,Reading Glasses,Vision,600
54,2025-05-13,D12,Bandages,First Aid,150
55,2025-01-19,D01,Paracetamol,Pain Relief,100
55,2025-01-19,D17,Reading Puzzle Book,Stationery/Leisure,300
56,2025-06-09,D10,Reading Glasses,Vision,600
56,2025-06-09,D17,Reading Puzzle Book,Stationery/Leisure,300
57,2025-01-12,D05,Vitamin C Tablets,Supplements,400
58,2025-04-25,D03,Cold & Flu Syrup,Cold Remedy,350
58,2025-04-25,D04,Tissues,Cold Remedy,100
59,2025-02-15,D06,Hand Sanitizer,Hygiene,150
59,2025-02-15,D07,Face Masks,Hygiene,200
60,2025-03-19,D14,Baby Lotion,Baby Care,350
60,2025-03-19,D15,Baby Diapers,Baby Care,1200
61,2025-03-25,D08,Sunscreen SPF50,Skincare,800
61,2025-03-25,D09,Aloe Vera Gel,Skincare,350
62,2025-03-12,D12,Bandages,First Aid,150
62,2025-03-12,D13,Antiseptic Cream,First Aid,200
63,2025-05-18,D17,Reading Puzzle Book,Stationery/Leisure,300
64,2025-03-31,D05,Vitamin C Tablets,Supplements,400
64,2025-03-31,D16,Multivitamin Gummies,Supplements,500
65,2025-03-14,D16,Multivitamin Gummies,Supplements,500
66,2025-02-28,D02,Ibuprofen,Pain Relief,150
67,2025-05-20,D04,Tissues,Cold Remedy,100
68,2025-02-14,D11,Eye Drops,Vision,250
68,2025-02-14,D01,Paracetamol,Pain Relief,100
68,2025-02-14,D15,Baby Diapers,Baby Care,1200
69,2025-06-19,D03,Cold & Flu Syrup,Cold Remedy,350
69,2025-06-19,D04,Tissues,Cold Remedy,100
69,2025-06-19,D05,Vitamin C Tablets,Supplements,400
70,2025-03-20,D14,Baby Lotion,Baby Care,350
70,2025-03-20,D15,Baby Diapers,Baby Care,1200
71,2025-05-27,D15,Baby Diapers,Baby Care,1200
71,2025-05-27,D08,Sunscreen SPF50,Skincare,800
72,2025-04-28,D08,Sunscreen SPF50,Skincare,800
72,2025-04-28,D09,Aloe Vera Gel,Skincare,350
73,2025-06-20,D04,Tissues,Cold Remedy,100
74,2025-02-21,D14,Baby Lotion,Baby Care,350
74,2025-02-21,D17,Reading Puzzle Book,Stationery/Leisure,300
75,2025-02-23,D14,Baby Lotion,Baby Care,350
75,2025-02-23,D15,Baby Diapers,Baby Care,1200
76,2025-02-17,D10,Reading Glasses,Vision,600
76,2025-02-17,D17,Reading Puzzle Book,Stationery/Leisure,300
77,2025-03-01,D06,Hand Sanitizer,Hygiene,150
77,2025-03-01,D07,Face Masks,Hygiene,200
78,2025-02-22,D05,Vitamin C Tablets,Supplements,400
78,2025-02-22,D16,Multivitamin Gummies,Supplements,500
79,2025-02-11,D09,Aloe Vera Gel,Skincare,350
80,2025-05-14,D10,Reading Glasses,Vision,600
80,2025-05-14,D17,Reading Puzzle Book,Stationery/Leisure,300
80,2025-05-14,D11,Eye Drops,Vision,250
81,2025-03-28,D06,Hand Sanitizer,Hygiene,150
81,2025-03-28,D07,Face Masks,Hygiene,200
81,2025-03-28,D08,Sunscreen SPF50,Skincare,800
82,2025-05-17,D14,Baby Lotion,Baby Care,350
83,2025-01-25,D01,Paracetamol,Pain Relief,100
83,2025-01-25,D14,Baby Lotion,Baby Care,350
83,2025-01-25,D12,Bandages,First Aid,150
83,2025-01-25,D11,Eye Drops,Vision,250
84,2025-02-27,D12,Bandages,First Aid,150
84,2025-02-27,D13,Antiseptic Cream,First Aid,200
85,2025-04-27,D03,Cold & Flu Syrup,Cold Remedy,350
85,2025-04-27,D04,Tissues,Cold Remedy,100
85,2025-04-27,D05,Vitamin C Tablets,Supplements,400
86,2025-03-23,D03,Cold & Flu Syrup,Cold Remedy,350
86,2025-03-23,D04,Tissues,Cold Remedy,100
86,2025-03-23,D11,Eye Drops,Vision,250
87,2025-06-04,D13,Antiseptic Cream,First Aid,200
87,2025-06-04,D11,Eye Drops,Vision,250
88,2025-06-13,D06,Hand Sanitizer,Hygiene,150
88,2025-06-13,D02,Ibuprofen,Pain Relief,150
88,2025-06-13,D01,Paracetamol,Pain Relief,100
88,2025-06-13,D14,Baby Lotion,Baby Care,350
89,2025-03-20,D03,Cold & Flu Syrup,Cold Remedy,350
89,2025-03-20,D04,Tissues,Cold Remedy,100
90,2025-05-21,D12,Bandages,First Aid,150
90,2025-05-21,D13,Antiseptic Cream,First Aid,200
91,2025-05-08,D08,Sunscreen SPF50,Skincare,800
91,2025-05-08,D12,Bandages,First Aid,150
91,2025-05-08,D02,Ibuprofen,Pain Relief,150
92,2025-05-17,D17,Reading Puzzle Book,Stationery/Leisure,300
92,2025-05-17,D10,Reading Glasses,Vision,600
92,2025-05-17,D09,Aloe Vera Gel,Skincare,350
93,2025-02-03,D06,Hand Sanitizer,Hygiene,150
93,2025-02-03,D07,Face Masks,Hygiene,200
94,2025-06-18,D09,Aloe Vera Gel,Skincare,350
95,2025-01-11,D16,Multivitamin Gummies,Supplements,500
95,2025-01-11,D14,Baby Lotion,Baby Care,350
95,2025-01-11,D09,Aloe Vera Gel,Skincare,350
95,2025-01-11,D02,Ibuprofen,Pain Relief,150
96,2025-04-06,D03,Cold & Flu Syrup,Cold Remedy,350
96,2025-04-06,D04,Tissues,Cold Remedy,100
97,2025-03-16,D15,Baby Diapers,Baby Care,1200
97,2025-03-16,D14,Baby Lotion,Baby Care,350
97,2025-03-16,D13,Antiseptic Cream,First Aid,200
97,2025-03-16,D07,Face Masks,Hygiene,200
98,2025-06-09,D11,Eye Drops,Vision,250
98,2025-06-09,D14,Baby Lotion,Baby Care,350
99,2025-05-26,D15,Baby Diapers,Baby Care,1200
99,2025-05-26,D11,Eye Drops,Vision,250
99,2025-05-26,D04,Tissues,Cold Remedy,100
100,2025-06-29,D14,Baby Lotion,Baby Care,350
100,2025-06-29,D15,Baby Diapers,Baby Care,1200
101,2025-02-13,D12,Bandages,First Aid,150
101,2025-02-13,D13,Antiseptic Cream,First Aid,200
102,2025-04-27,D02,Ibuprofen,Pain Relief,150
103,2025-02-03,D11,Eye Drops,Vision,250
104,2025-02-13,D03,Cold & Flu Syrup,Cold Remedy,350
105,2025-04-08,D12,Bandages,First Aid,150
105,2025-04-08,D13,Antiseptic Cream,First Aid,200
106,2025-02-16,D07,Face Masks,Hygiene,200
106,2025-02-16,D17,Reading Puzzle Book,Stationery/Leisure,300
107,2025-05-12,D06,Hand Sanitizer,Hygiene,150
107,2025-05-12,D07,Face Masks,Hygiene,200
107,2025-05-12,D13,Antiseptic Cream,First Aid,200
108,2025-01-23,D08,Sunscreen SPF50,Skincare,800
108,2025-01-23,D09,Aloe Vera Gel,Skincare,350
109,2025-03-30,D12,Bandages,First Aid,150
109,2025-03-30,D13,Antiseptic Cream,First Aid,200
110,2025-04-11,D06,Hand Sanitizer,Hygiene,150
110,2025-04-11,D07,Face Masks,Hygiene,200
111,2025-03-07,D03,Cold & Flu Syrup,Cold Remedy,350
111,2025-03-07,D04,Tissues,Cold Remedy,100
112,2025-05-06,D11,Eye Drops,Vision,250
113,2025-05-11,D10,Reading Glasses,Vision,600
113,2025-05-11,D17,Reading Puzzle Book,Stationery/Leisure,300
113,2025-05-11,D11,Eye Drops,Vision,250
114,2025-01-18,D08,Sunscreen SPF50,Skincare,800
114,2025-01-18,D09,Aloe Vera Gel,Skincare,350
115,2025-05-10,D10,Reading Glasses,Vision,600
115,2025-05-10,D17,Reading Puzzle Book,Stationery/Leisure,300
115,2025-05-10,D11,Eye Drops,Vision,250
116,2025-01-12,D12,Bandages,First Aid,150
116,2025-01-12,D13,Antiseptic Cream,First Aid,200
117,2025-02-28,D17,Reading Puzzle Book,Stationery/Leisure,300
118,2025-01-03,D14,Baby Lotion,Baby Care,350
118,2025-01-03,D15,Baby Diapers,Baby Care,1200
119,2025-06-28,D03,Cold & Flu Syrup,Cold Remedy,350
119,2025-06-28,D04,Tissues,Cold Remedy,100
120,2025-06-15,D16,Multivitamin Gummies,Supplements,500
121,2025-06-22,D08,Sunscreen SPF50,Skincare,800
121,2025-06-22,D09,Aloe Vera Gel,Skincare,350
122,2025-01-23,D06,Hand Sanitizer,Hygiene,150
122,2025-01-23,D01,Paracetamol,Pain Relief,100
122,2025-01-23,D03,Cold & Flu Syrup,Cold Remedy,350
123,2025-01-22,D10,Reading Glasses,Vision,600
123,2025-01-22,D17,Reading Puzzle Book,Stationery/Leisure,300
124,2025-03-22,D10,Reading Glasses,Vision,600
124,2025-03-22,D17,Reading Puzzle Book,Stationery/Leisure,300
125,2025-06-13,D03,Cold & Flu Syrup,Cold Remedy,350
125,2025-06-13,D04,Tissues,Cold Remedy,100
125,2025-06-13,D05,Vitamin C Tablets,Supplements,400
126,2025-05-23,D05,Vitamin C Tablets,Supplements,400
126,2025-05-23,D02,Ibuprofen,Pain Relief,150
126,2025-05-23,D17,Reading Puzzle Book,Stationery/Leisure,300
127,2025-04-10,D03,Cold & Flu Syrup,Cold Remedy,350
127,2025-04-10,D01,Paracetamol,Pain Relief,100
128,2025-02-19,D12,Bandages,First Aid,150
128,2025-02-19,D13,Antiseptic Cream,First Aid,200
129,2025-05-23,D08,Sunscreen SPF50,Skincare,800
129,2025-05-23,D09,Aloe Vera Gel,Skincare,350
130,2025-02-12,D04,Tissues,Cold Remedy,100
131,2025-01-20,D14,Baby Lotion,Baby Care,350
131,2025-01-20,D15,Baby Diapers,Baby Care,1200
132,2025-03-25,D12,Bandages,First Aid,150
132,2025-03-25,D13,Antiseptic Cream,First Aid,200
132,2025-03-25,D11,Eye Drops,Vision,250
133,2025-03-19,D11,Eye Drops,Vision,250
134,2025-03-08,D14,Baby Lotion,Baby Care,350
134,2025-03-08,D15,Baby Diapers,Baby Care,1200
135,2025-06-25,D11,Eye Drops,Vision,250
136,2025-02-07,D09,Aloe Vera Gel,Skincare,350
136,2025-02-07,D14,Baby Lotion,Baby Care,350
136,2025-02-07,D06,Hand Sanitizer,Hygiene,150
137,2025-02-26,D12,Bandages,First Aid,150
137,2025-02-26,D16,Multivitamin Gummies,Supplements,500
137,2025-02-26,D05,Vitamin C Tablets,Supplements,400
138,2025-01-19,D16,Multivitamin Gummies,Supplements,500
138,2025-01-19,D03,Cold & Flu Syrup,Cold Remedy,350
139,2025-06-28,D15,Baby Diapers,Baby Care,1200
140,2025-01-08,D10,Reading Glasses,Vision,600
140,2025-01-08,D04,Tissues,Cold Remedy,100
140,2025-01-08,D13,Antiseptic Cream,First Aid,200
141,2025-03-01,D03,Cold & Flu Syrup,Cold Remedy,350
141,2025-03-01,D04,Tissues,Cold Remedy,100
141,2025-03-01,D05,Vitamin C Tablets,Supplements,400
142,2025-03-10,D03,Cold & Flu Syrup,Cold Remedy,350
142,2025-03-10,D04,Tissues,Cold Remedy,100
142,2025-03-10,D05,Vitamin C Tablets,Supplements,400
143,2025-06-23,D03,Cold & Flu Syrup,Cold Remedy,350
143,2025-06-23,D17,Reading Puzzle Book,Stationery/Leisure,300
143,2025-06-23,D10,Reading Glasses,Vision,600
143,2025-06-23,D14,Baby Lotion,Baby Care,350
144,2025-05-13,D02,Ibuprofen,Pain Relief,150
144,2025-05-13,D09,Aloe Vera Gel,Skincare,350
144,2025-05-13,D06,Hand Sanitizer,Hygiene,150
144,2025-05-13,D03,Cold & Flu Syrup,Cold Remedy,350
145,2025-05-01,D05,Vitamin C Tablets,Supplements,400
145,2025-05-01,D16,Multivitamin Gummies,Supplements,500
146,2025-03-06,D09,Aloe Vera Gel,Skincare,350
147,2025-05-22,D14,Baby Lotion,Baby Care,350
147,2025-05-22,D13,Antiseptic Cream,First Aid,200
147,2025-05-22,D08,Sunscreen SPF50,Skincare,800
147,2025-05-22,D03,Cold & Flu Syrup,Cold Remedy,350
148,2025-06-22,D10,Reading Glasses,Vision,600
148,2025-06-22,D02,Ibuprofen,Pain Relief,150
148,2025-06-22,D05,Vitamin C Tablets,Supplements,400
149,2025-04-29,D05,Vitamin C Tablets,Supplements,400
149,2025-04-29,D16,Multivitamin Gummies,Supplements,500
149,2025-04-29,D12,Bandages,First Aid,150
150,2025-04-19,D08,Sunscreen SPF50,Skincare,800
150,2025-04-19,D09,Aloe Vera Gel,Skincare,350
151,2025-06-17,D04,Tissues,Cold Remedy,100
152,2025-04-27,D05,Vitamin C Tablets,Supplements,400
152,2025-04-27,D16,Multivitamin Gummies,Supplements,500
153,2025-02-16,D08,Sunscreen SPF50,Skincare,800
153,2025-02-16,D09,Aloe Vera Gel,Skincare,350
154,2025-02-10,D03,Cold & Flu Syrup,Cold Remedy,350
155,2025-05-24,D10,Reading Glasses,Vision,600
155,2025-05-24,D17,Reading Puzzle Book,Stationery/Leisure,300
155,2025-05-24,D03,Cold & Flu Syrup,Cold Remedy,350
156,2025-05-28,D07,Face Masks,Hygiene,200
156,2025-05-28,D01,Paracetamol,Pain Relief,100
157,2025-01-01,D14,Baby Lotion,Baby Care,350
157,2025-01-01,D15,Baby Diapers,Baby Care,1200
157,2025-01-01,D11,Eye Drops,Vision,250
158,2025-03-30,D06,Hand Sanitizer,Hygiene,150
158,2025-03-30,D07,Face Masks,Hygiene,200
159,2025-03-03,D07,Face Masks,Hygiene,200
159,2025-03-03,D10,Reading Glasses,Vision,600
160,2025-01-10,D09,Aloe Vera Gel,Skincare,350
160,2025-01-10,D15,Baby Diapers,Baby Care,1200
160,2025-01-10,D16,Multivitamin Gummies,Supplements,500
161,2025-06-01,D06,Hand Sanitizer,Hygiene,150
161,2025-06-01,D07,Face Masks,Hygiene,200
162,2025-05-27,D11,Eye Drops,Vision,250
163,2025-04-30,D09,Aloe Vera Gel,Skincare,350
164,2025-06-08,D08,Sunscreen SPF50,Skincare,800
164,2025-06-08,D14,Baby Lotion,Baby Care,350
164,2025-06-08,D13,Antiseptic Cream,First Aid,200
164,2025-06-08,D12,Bandages,First Aid,150
165,2025-06-28,D03,Cold & Flu Syrup,Cold Remedy,350
165,2025-06-28,D04,Tissues,Cold Remedy,100
165,2025-06-28,D05,Vitamin C Tablets,Supplements,400
166,2025-04-17,D05,Vitamin C Tablets,Supplements,400
166,2025-04-17,D16,Multivitamin Gummies,Supplements,500
166,2025-04-17,D09,Aloe Vera Gel,Skincare,350
167,2025-03-12,D03,Cold & Flu Syrup,Cold Remedy,350
167,2025-03-12,D04,Tissues,Cold Remedy,100
168,2025-06-08,D17,Reading Puzzle Book,Stationery/Leisure,300
168,2025-06-08,D02,Ibuprofen,Pain Relief,150
168,2025-06-08,D16,Multivitamin Gummies,Supplements,500
168,2025-06-08,D08,Sunscreen SPF50,Skincare,800
169,2025-02-11,D12,Bandages,First Aid,150
169,2025-02-11,D13,Antiseptic Cream,First Aid,200
170,2025-06-13,D01,Paracetamol,Pain Relief,100
171,2025-03-22,D09,Aloe Vera Gel,Skincare,350
171,2025-03-22,D13,Antiseptic Cream,First Aid,200
171,2025-03-22,D08,Sunscreen SPF50,Skincare,800
171,2025-03-22,D04,Tissues,Cold Remedy,100
172,2025-01-27,D08,Sunscreen SPF50,Skincare,800
172,2025-01-27,D09,Aloe Vera Gel,Skincare,350
173,2025-02-20,D16,Multivitamin Gummies,Supplements,500
174,2025-03-16,D03,Cold & Flu Syrup,Cold Remedy,350
174,2025-03-16,D04,Tissues,Cold Remedy,100
175,2025-01-17,D07,Face Masks,Hygiene,200
176,2025-01-16,D05,Vitamin C Tablets,Supplements,400
176,2025-01-16,D16,Multivitamin Gummies,Supplements,500
177,2025-04-16,D03,Cold & Flu Syrup,Cold Remedy,350
177,2025-04-16,D14,Baby Lotion,Baby Care,350
177,2025-04-16,D04,Tissues,Cold Remedy,100
177,2025-04-16,D09,Aloe Vera Gel,Skincare,350
178,2025-02-22,D04,Tissues,Cold Remedy,100
178,2025-02-22,D12,Bandages,First Aid,150
178,2025-02-22,D13,Antiseptic Cream,First Aid,200
179,2025-06-19,D03,Cold & Flu Syrup,Cold Remedy,350
179,2025-06-19,D04,Tissues,Cold Remedy,100
180,2025-01-10,D03,Cold & Flu Syrup,Cold Remedy,350
180,2025-01-10,D16,Multivitamin Gummies,Supplements,500
181,2025-04-09,D10,Reading Glasses,Vision,600
182,2025-04-11,D14,Baby Lotion,Baby Care,350
182,2025-04-11,D15,Baby Diapers,Baby Care,1200
183,2025-06-12,D14,Baby Lotion,Baby Care,350
184,2025-04-11,D03,Cold & Flu Syrup,Cold Remedy,350
184,2025-04-11,D04,Tissues,Cold Remedy,100
185,2025-02-01,D06,Hand Sanitizer,Hygiene,150
185,2025-02-01,D07,Face Masks,Hygiene,200
186,2025-01-18,D05,Vitamin C Tablets,Supplements,400
186,2025-01-18,D16,Multivitamin Gummies,Supplements,500
186,2025-01-18,D11,Eye Drops,Vision,250
187,2025-06-10,D09,Aloe Vera Gel,Skincare,350
187,2025-06-10,D02,Ibuprofen,Pain Relief,150
187,2025-06-10,D05,Vitamin C Tablets,Supplements,400
188,2025-04-24,D10,Reading Glasses,Vision,600
188,2025-04-24,D02,Ibuprofen,Pain Relief,150
189,2025-01-02,D05,Vitamin C Tablets,Supplements,400
189,2025-01-02,D16,Multivitamin Gummies,Supplements,500
190,2025-04-24,D12,Bandages,First Aid,150
190,2025-04-24,D13,Antiseptic Cream,First Aid,200
191,2025-05-09,D14,Baby Lotion,Baby Care,350
191,2025-05-09,D15,Baby Diapers,Baby Care,1200
192,2025-05-23,D08,Sunscreen SPF50,Skincare,800
192,2025-05-23,D15,Baby Diapers,Baby Care,1200
192,2025-05-23,D02,Ibuprofen,Pain Relief,150
192,2025-05-23,D01,Paracetamol,Pain Relief,100
193,2025-01-23,D06,Hand Sanitizer,Hygiene,150
193,2025-01-23,D10,Reading Glasses,Vision,600
194,2025-04-23,D15,Baby Diapers,Baby Care,1200
195,2025-05-12,D09,Aloe Vera Gel,Skincare,350
196,2025-06-06,D08,Sunscreen SPF50,Skincare,800
196,2025-06-06,D10,Reading Glasses,Vision,600
196,2025-06-06,D03,Cold & Flu Syrup,Cold Remedy,350
197,2025-04-07,D12,Bandages,First Aid,150
197,2025-04-07,D13,Antiseptic Cream,First Aid,200
198,2025-03-19,D01,Paracetamol,Pain Relief,100
198,2025-03-19,D09,Aloe Vera Gel,Skincare,350
198,2025-03-19,D04,Tissues,Cold Remedy,100
199,2025-01-09,D12,Bandages,First Aid,150
199,2025-01-09,D13,Antiseptic Cream,First Aid,200
200,2025-01-24,D05,Vitamin C Tablets,Supplements,400
200,2025-01-24,D02,Ibuprofen,Pain Relief,150
200,2025-01-24,D07,Face Masks,Hygiene,200
201,2025-05-01,D13,Antiseptic Cream,First Aid,200
201,2025-05-01,D11,Eye Drops,Vision,250
201,2025-05-01,D10,Reading Glasses,Vision,600
201,2025-05-01,D05,Vitamin C Tablets,Supplements,400
202,2025-03-15,D08,Sunscreen SPF50,Skincare,800
202,2025-03-15,D09,Aloe Vera Gel,Skincare,350
203,2025-02-16,D04,Tissues,Cold Remedy,100
203,2025-02-16,D12,Bandages,First Aid,150
204,2025-06-06,D02,Ibuprofen,Pain Relief,150
204,2025-06-06,D05,Vitamin C Tablets,Supplements,400
205,2025-02-22,D02,Ibuprofen,Pain Relief,150
205,2025-02-22,D08,Sunscreen SPF50,Skincare,800
206,2025-01-20,D12,Bandages,First Aid,150
206,2025-01-20,D13,Antiseptic Cream,First Aid,200
207,2025-05-21,D10,Reading Glasses,Vision,600
207,2025-05-21,D17,Reading Puzzle Book,Stationery/Leisure,300
208,2025-03-01,D11,Eye Drops,Vision,250
208,2025-03-01,D15,Baby Diapers,Baby Care,1200
209,2025-03-07,D09,Aloe Vera Gel,Skincare,350
210,2025-04-18,D03,Cold & Flu Syrup,Cold Remedy,350
210,2025-04-18,D04,Tissues,Cold Remedy,100
210,2025-04-18,D05,Vitamin C Tablets,Supplements,400
211,2025-04-26,D08,Sunscreen SPF50,Skincare,800
211,2025-04-26,D05,Vitamin C Tablets,Supplements,400
211,2025-04-26,D09,Aloe Vera Gel,Skincare,350
212,2025-01-02,D05,Vitamin C Tablets,Supplements,400
212,2025-01-02,D16,Multivitamin Gummies,Supplements,500
213,2025-05-15,D12,Bandages,First Aid,150
214,2025-03-31,D12,Bandages,First Aid,150
214,2025-03-31,D13,Antiseptic Cream,First Aid,200
215,2025-04-17,D15,Baby Diapers,Baby Care,1200
216,2025-06-25,D12,Bandages,First Aid,150
216,2025-06-25,D13,Antiseptic Cream,First Aid,200
217,2025-02-12,D15,Baby Diapers,Baby Care,1200
217,2025-02-12,D08,Sunscreen SPF50,Skincare,800
218,2025-05-29,D15,Baby Diapers,Baby Care,1200
219,2025-01-05,D09,Aloe Vera Gel,Skincare,350
219,2025-01-05,D15,Baby Diapers,Baby Care,1200
220,2025-04-15,D01,Paracetamol,Pain Relief,100
221,2025-02-01,D14,Baby Lotion,Baby Care,350
221,2025-02-01,D15,Baby Diapers,Baby Care,1200
222,2025-01-16,D08,Sunscreen SPF50,Skincare,800
222,2025-01-16,D09,Aloe Vera Gel,Skincare,350
223,2025-04-01,D06,Hand Sanitizer,Hygiene,150
223,2025-04-01,D07,Face Masks,Hygiene,200
224,2025-01-10,D05,Vitamin C Tablets,Supplements,400
224,2025-01-10,D16,Multivitamin Gummies,Supplements,500
225,2025-01-14,D12,Bandages,First Aid,150
225,2025-01-14,D13,Antiseptic Cream,First Aid,200
226,2025-01-01,D14,Baby Lotion,Baby Care,350
226,2025-01-01,D15,Baby Diapers,Baby Care,1200
227,2025-04-13,D08,Sunscreen SPF50,Skincare,800
227,2025-04-13,D04,Tissues,Cold Remedy,100
