account_id,branch_region,account_balance_kes,transactions_per_month,avg_transaction_amount_kes,years_as_customer,digital_banking_usage_score
71,Rift Valley,899046.0,17.8,12170.0,7.9,0.0
72,Rift Valley,836683.0,15.2,38586.0,6.8,53.08777651035696
73,Coast,12972.0,50.0,2676.0,2.3,63.0541566444153
74,Rift Valley,17796.0,18.6,1690.0,2.1,0.0
75,Rift Valley,50505.0,20.8,2955.0,6.6,45.93346693978668
76,Western,28486.0,14.3,3545.0,6.9,60.810234737116446
77,Nairobi,56251.0,20.7,2887.0,4.4,85.62999090962822
78,Coast,17280.0,1.1,439.0,7.2,60.48669146462757
79,Western,6282032.0,6.7,83765.0,13.9,74.32682491091666
80,Coast,711751.0,16.8,11547.0,10.3,97.40764740309781
81,Nairobi,3715768.0,13.2,91930.0,12.2,39.9182798021503
82,Nairobi,26025.0,28.6,1089.0,1.3,30.14720617979337
83,Nairobi,673074.0,19.5,26974.0,6.3,12.735702721385756
84,Other,31154.0,43.3,1375.0,0.9,80.35651113769418
85,Coast,48022.0,22.4,3432.0,7.8,91.13959683550718
86,Rift Valley,40978.0,25.4,1048.0,3.0,84.70702980799206
87,Nairobi,507979.0,16.0,31623.0,4.5,51.667829376216275
88,Other,5207.0,0.9,1394.0,0.1,24.22783194677154
89,Rift Valley,3093.0,1.2,1592.0,7.9,9.771862733834034
90,Other,30165.0,42.4,1808.0,0.4,42.82507558392166
91,Rift Valley,39492.0,20.8,2036.0,1.7,28.841812974851596
92,Nairobi,9924.0,1.3,1185.0,6.5,66.71237155291053
93,Nairobi,46410.0,8.9,3206.0,0.1,63.195360518403106
94,Rift Valley,56720.0,24.5,2168.0,3.6,91.21674466950752
95,Nairobi,669197.0,14.0,16089.0,6.4,67.33489554255561
96,Western,48454.0,8.7,3776.0,4.5,
97,Nairobi,3967867.0,2.2,85724.0,15.3,45.53987752776679
98,Nairobi,35840.0,30.5,2020.0,0.1,53.87677234182161
99,Nairobi,760612.0,14.2,21016.0,3.0,29.908013452902395
100,Western,51016.0,18.1,2112.0,2.1,45.99758193610922
101,Rift Valley,33196.0,1.2,938.0,4.8,73.39470098740905
102,Rift Valley,42940.0,11.9,3143.0,6.3,46.27620154418958
103,Nairobi,17575.0,0.6,931.0,6.7,95.28128937034879
104,Rift Valley,32826.0,29.5,1872.0,0.6,
105,Other,19262.0,1.2,501.0,9.1,68.23016265601709
106,Coast,6952.0,1.2,493.0,10.9,88.83713758411506
107,Coast,23818.0,20.4,2826.0,3.3,47.065170875240945
108,Nairobi,50141.0,1.2,3861.0,3.1,24.2762118769995
109,Coast,11220.0,0.0,1090.0,6.2,65.94063836480208
110,Rift Valley,3617493.0,3.7,82898.0,15.6,37.382578249949475
111,Nairobi,688665.0,18.6,17893.0,3.1,53.28168354342803
112,Rift Valley,39590.0,21.3,4301.0,4.3,
113,Coast,22457.0,41.4,2712.0,1.7,65.87635529462445
114,Nairobi,30526.0,34.5,2823.0,1.8,58.40609661492355
115,Nairobi,23405.0,43.5,1498.0,2.1,4.5333329423907145
116,Western,25675.0,30.1,1005.0,2.8,51.83959517763228
117,Coast,40087.0,16.3,2567.0,8.0,95.46039993169354
118,Rift Valley,41186.0,11.1,5328.0,6.8,43.60661773406254
119,Rift Valley,772236.0,19.3,13539.0,6.5,
120,Western,51288.0,28.2,3533.0,2.6,69.28115032709269
121,Coast,2725449.0,8.1,102961.0,9.3,100.0
122,Nairobi,67116.0,12.8,3007.0,3.4,50.19039087685215
123,Western,18098.0,23.1,1773.0,2.2,65.86642919717318
124,Coast,27857.0,41.8,2187.0,3.6,68.49141790486469
125,Nairobi,45213.0,20.9,4184.0,3.9,18.40122698528269
126,Coast,52990.0,4.3,3760.0,1.9,60.406922783006976
127,Nairobi,47943.0,16.7,1338.0,0.5,40.980713166170084
128,Coast,32932.0,15.1,4736.0,0.1,92.27476177205368
129,Nairobi,23746.0,29.8,2339.0,1.0,48.55679080918534
130,Nairobi,711770.0,9.8,15951.0,9.6,48.830937165208354
131,Nairobi,567132.0,5.1,13272.0,2.4,37.7717644039161
132,Coast,25134.0,29.6,2417.0,1.3,
133,Rift Valley,23835.0,23.9,1616.0,2.0,0.0
134,Rift Valley,18391.0,0.6,827.0,7.2,38.22012583043764
135,Rift Valley,57544.0,15.9,2297.0,8.2,94.21502589978058
136,Nairobi,762600.0,8.3,19480.0,9.4,32.670687314887914
137,Nairobi,737615.0,17.7,28627.0,8.0,60.38482391534439
138,Rift Valley,4840126.0,6.9,91912.0,5.8,52.791604081401815
139,Coast,691973.0,12.9,26481.0,11.0,35.61290390824311
140,Rift Valley,4106279.0,9.5,163062.0,12.0,58.63096217674926
141,Nairobi,397794.0,11.6,24684.0,9.8,18.695684360860803
142,Western,10990.0,30.5,2598.0,2.5,78.21080359783306
143,Western,32717.0,7.3,3613.0,4.2,41.28837503134957
144,Nairobi,32960.0,13.0,5730.0,0.7,39.90224499007387
145,Western,18307.0,0.9,651.0,5.7,40.66130026591119
146,Nairobi,5851287.0,8.6,112909.0,16.8,86.34908906485566
147,Nairobi,43699.0,15.4,3278.0,1.3,36.57805579227404
148,Nairobi,31055.0,27.7,1996.0,2.0,78.03271941245964
149,Coast,52583.0,30.5,2793.0,4.2,22.662053421838117
150,Rift Valley,47383.0,21.1,2079.0,1.5,14.565407776272657
151,Nairobi,11423.0,0.6,1056.0,4.2,40.57843224760882
152,Nairobi,53888.0,29.4,3993.0,0.1,58.658193494043694
153,Nairobi,16236.0,0.4,595.0,0.7,52.54174914812973
154,Coast,38055.0,19.5,3487.0,5.6,35.092602299926824
155,Nairobi,31052.0,1.1,1511.0,0.5,21.322718537225214
156,Coast,12411.0,40.7,3293.0,0.7,29.574849408283523
157,Nairobi,31082.0,32.6,1480.0,1.9,58.0791683744263
158,Coast,751431.0,10.1,15190.0,4.6,47.62688786222043
159,Nairobi,29778.0,29.5,466.0,2.4,50.9018603515758
160,Other,3578910.0,9.9,84662.0,5.0,47.26407266438307
161,Western,784431.0,14.6,25278.0,10.3,58.701389448109204
162,Western,27659.0,0.8,815.0,7.3,57.13860853015214
163,Coast,30794.0,22.9,3701.0,3.6,
164,Rift Valley,41087.0,26.1,1692.0,2.0,28.39826811136666
165,Coast,19475.0,1.6,962.0,5.8,54.485875668915504
166,Nairobi,45778.0,5.8,3459.0,5.3,90.50465709317388
167,Coast,69474.0,20.4,726.0,4.8,95.3695186897923
168,Coast,25711.0,1.1,116.0,10.6,32.64826116187638
169,Nairobi,548488.0,16.3,5834.0,8.7,21.459415764821394
170,Rift Valley,31490.0,23.8,1225.0,0.5,92.81928338948795
171,Nairobi,51718.0,18.0,1320.0,1.6,33.67255713486341
172,Other,35295.0,32.6,715.0,1.5,90.44723527858116
173,Rift Valley,613052.0,7.3,21973.0,2.7,72.10200915004927
174,Nairobi,62083.0,23.0,3828.0,2.9,38.590781360776745
175,Other,785887.0,13.6,24244.0,8.8,89.274057595597
176,Rift Valley,42617.0,19.0,3369.0,3.2,27.071289713797842
177,Rift Valley,678414.0,13.6,27754.0,6.8,53.53213151857126
178,Nairobi,472682.0,8.1,21296.0,1.3,60.44645063577746
179,Nairobi,3604357.0,6.3,84403.0,9.6,25.798748143952277
180,Other,10578.0,0.4,1039.0,7.5,74.71200882549086
181,Nairobi,28945.0,25.9,2242.0,0.5,61.32511967589228
182,Nairobi,510896.0,11.9,10689.0,9.5,53.41712049099293
183,Other,23083.0,1.2,182.0,9.7,56.95377071824126
184,Other,21284.0,2.0,1370.0,5.2,51.885449090902995
185,Other,533428.0,20.6,12855.0,11.4,36.00848509511732
186,Nairobi,31864.0,13.7,2112.0,4.1,27.509978584825475
187,Coast,571376.0,14.0,13504.0,9.6,89.76297725481186
188,Nairobi,1000.0,1.2,1323.0,7.3,9.104155644258022
189,Nairobi,15650.0,1.5,654.0,5.5,28.43256263040096
190,Other,3953413.0,4.8,99172.0,9.1,
191,Rift Valley,27232.0,27.8,2586.0,1.8,7.702772742521745
192,Rift Valley,1000.0,34.9,476.0,1.5,56.15891142228275
193,Rift Valley,650040.0,9.3,33959.0,9.1,40.17851347750712
194,Coast,17405.0,36.4,1479.0,0.9,82.00140641125262
195,Nairobi,48615.0,34.4,1958.0,1.2,57.07380176304424
196,Coast,75500.0,20.6,4188.0,7.8,100.0
197,Nairobi,20865.0,19.8,1594.0,1.4,75.69767556188012
198,Other,833834.0,12.7,18633.0,4.0,48.74041251839743
199,Coast,70346.0,18.2,3944.0,2.3,35.71843442387635
200,Coast,28630.0,1.6,1791.0,5.2,74.50218925546054
201,Rift Valley,54916.0,12.9,3259.0,0.4,
202,Rift Valley,510641.0,6.9,16948.0,9.1,69.033872114954
203,Coast,48147.0,15.4,3684.0,4.5,31.81019214351975
204,Nairobi,7315.0,0.8,981.0,7.3,74.16837884210156
205,Nairobi,35568.0,14.6,3575.0,3.9,86.78416606619979
206,Rift Valley,43656.0,21.2,5069.0,3.9,65.18421054906702
207,Other,233751.0,20.3,26215.0,2.4,56.5359436511117
208,Rift Valley,699120.0,15.7,18406.0,1.3,
209,Coast,10421.0,25.6,1297.0,1.4,83.46497165535564
210,Western,850048.0,14.0,22733.0,3.3,32.47854669320937
211,Other,23421.0,2.1,875.0,7.8,65.46983578525764
212,Nairobi,41456.0,17.6,5514.0,3.1,33.87955701390677
213,Coast,30316.0,23.0,2983.0,2.0,53.92294249265613
214,Other,801936.0,7.6,29041.0,8.3,60.13866458494937
215,Nairobi,4538063.0,7.4,136290.0,10.8,73.26603689492327
216,Rift Valley,35801.0,8.4,3402.0,2.7,37.37007511136631
217,Coast,685693.0,19.2,20074.0,7.3,28.43591168050214
218,Rift Valley,677869.0,13.6,19040.0,6.9,66.56075868595028
219,Other,391929.0,11.4,22186.0,13.2,38.921286050798905
220,Other,46129.0,18.9,3647.0,2.7,39.755792325050805
221,Western,65301.0,11.2,4911.0,4.6,
222,Rift Valley,30676.0,28.3,1177.0,0.1,57.56138719152651
223,Other,16671.0,0.9,922.0,10.0,46.04095118481706
224,Other,9256.0,1.4,958.0,7.9,75.6319983659422
225,Rift Valley,48714.0,6.0,2880.0,0.1,24.665685588698377
226,Nairobi,751252.0,11.9,25571.0,8.1,100.0
227,Coast,19417.0,1.1,1582.0,5.0,86.7199406304592
228,Rift Valley,42623.0,13.9,5925.0,2.7,61.12756964308448
229,Western,502766.0,17.0,30034.0,9.6,54.40640834911564
230,Western,40720.0,32.9,3300.0,0.8,39.72821309508464
231,Nairobi,33019.0,22.3,2079.0,2.5,87.08038224841837
232,Nairobi,406496.0,15.7,12679.0,7.7,47.4575832524389
233,Rift Valley,358079.0,11.4,25923.0,4.7,57.02137087807349
234,Nairobi,541011.0,10.5,18341.0,9.3,73.90306654609817
235,Nairobi,29331.0,25.2,1479.0,1.5,47.475911724185345
236,Western,4091662.0,9.4,94108.0,6.4,15.668337898326222
237,Nairobi,4872668.0,7.5,107097.0,14.0,86.60345855090546
238,Western,555026.0,11.6,17143.0,2.9,57.590492689140554
239,Coast,26939.0,28.2,1218.0,2.6,43.28335952691903
240,Nairobi,26110.0,44.6,2090.0,1.5,65.9154350106663
241,Nairobi,711314.0,1.8,19259.0,8.4,34.309946042778066
242,Nairobi,12649.0,0.5,657.0,5.6,61.847959791252165
243,Coast,66156.0,15.4,3839.0,11.6,14.878568160856346
244,Coast,17859.0,22.5,3591.0,5.2,58.2904068602624
245,Western,56904.0,19.2,4390.0,3.7,
246,Nairobi,28189.0,27.5,2063.0,0.7,20.300609810577825
247,Nairobi,49897.0,17.0,2465.0,8.0,76.61696931298101
248,Other,33930.0,7.1,2818.0,6.4,29.19023527042575
249,Nairobi,42308.0,18.8,3335.0,9.4,45.34672814323109
250,Nairobi,1027222.0,19.0,25261.0,9.4,83.52403867634652
251,Coast,21234.0,1.0,1434.0,4.7,59.74010275814509
252,Nairobi,426727.0,21.2,23483.0,9.6,75.52976144379026
253,Rift Valley,20977.0,36.7,2009.0,2.7,78.25572156581296
254,Nairobi,505617.0,19.9,18900.0,2.7,84.6356973431583
255,Rift Valley,14940.0,1.1,430.0,4.8,28.490538765737156
256,Nairobi,15737.0,0.3,721.0,2.3,13.98678534098191
257,Western,828114.0,15.9,27483.0,4.8,68.90855015015755
258,Rift Valley,4306081.0,8.2,105518.0,7.3,80.41248144484274
259,Nairobi,72939.0,13.0,3913.0,2.2,72.32000486183313
260,Coast,534630.0,18.6,20314.0,8.2,67.87159965069958
261,Western,16823.0,31.1,1432.0,2.7,85.57077477456006
262,Coast,30356.0,21.5,2597.0,1.0,60.70320829261847
263,Coast,28477.0,12.3,4706.0,7.4,9.86097727188018
264,Nairobi,26957.0,32.2,1910.0,0.2,64.2246648122456
265,Rift Valley,64873.0,15.6,1837.0,4.6,59.37443105198682
266,Rift Valley,30559.0,34.5,1576.0,0.4,77.72272208213937
267,Coast,31372.0,42.8,2334.0,1.0,0.0
268,Nairobi,39389.0,26.3,2293.0,0.6,50.570370457014405
269,Nairobi,28457.0,0.9,413.0,5.2,24.385613293132998
270,Coast,460656.0,18.5,21694.0,2.9,58.036171866012694
271,Nairobi,430801.0,17.7,16981.0,2.9,0.0
272,Rift Valley,917957.0,9.5,23470.0,10.4,4.379152850208051
273,Western,371787.0,19.0,14659.0,8.3,86.71435168381439
274,Rift Valley,47619.0,14.8,4247.0,6.8,55.56682381324922
275,Other,32998.0,20.2,4104.0,6.8,100.0
276,Rift Valley,14234.0,0.0,505.0,6.5,59.9977402861958
277,Rift Valley,731508.0,14.0,23366.0,7.9,83.45867170532856
278,Rift Valley,67362.0,22.3,4251.0,4.1,57.313293709704546
279,Other,3581419.0,7.5,65413.0,5.7,41.04345856341327
280,Coast,59026.0,13.8,4264.0,4.6,23.81061708870418
281,Nairobi,317493.0,17.8,10673.0,6.9,85.37588692314505
282,Nairobi,457846.0,15.2,29551.0,5.0,
283,Nairobi,59848.0,14.8,1398.0,3.5,58.526886717328665
284,Other,338133.0,10.9,15964.0,3.4,94.53966293629384
285,Coast,22226.0,0.8,925.0,12.2,
286,Rift Valley,74449.0,17.4,652.0,4.0,100.0
287,Rift Valley,16074.0,1.0,556.0,10.2,69.59474328914115
288,Nairobi,47882.0,30.9,1593.0,1.7,72.21807142384853
289,Rift Valley,19650.0,41.2,2071.0,1.6,61.880203858858586
290,Nairobi,679658.0,8.1,21910.0,9.1,11.142002807824127
291,Other,7817.0,18.8,2730.0,0.8,59.33835493277852
292,Coast,718798.0,6.8,20079.0,7.1,67.21331919217315
293,Nairobi,586977.0,5.4,16902.0,3.8,79.7856460697973
294,Western,31539.0,14.8,3688.0,3.4,53.078847639612555
295,Nairobi,47665.0,12.2,1160.0,5.6,97.67608761433856
296,Coast,3862446.0,10.1,17472.0,8.1,26.68257873732812
297,Western,14483.0,1.7,1305.0,4.6,45.85129210478418
298,Rift Valley,4259691.0,10.5,33973.0,10.5,53.10917999862203
299,Coast,60090.0,17.9,3657.0,7.2,37.30255344226525
300,Western,26584.0,20.3,3917.0,12.7,70.96368879510325
301,Rift Valley,56848.0,13.6,4144.0,1.3,100.0
302,Nairobi,44396.0,17.3,2127.0,6.5,37.858904610184396
303,Other,37877.0,20.4,1510.0,4.0,48.4798000454605
304,Rift Valley,4758594.0,5.2,121533.0,5.6,60.821881202853234
305,Nairobi,17584.0,27.5,628.0,0.8,56.5002440497272
306,Coast,52545.0,15.2,3363.0,6.1,56.33405171151528
307,Nairobi,15316.0,14.8,877.0,1.4,12.343402599836274
308,Western,24237.0,1.8,613.0,3.1,100.0
309,Nairobi,780903.0,13.4,17509.0,7.4,90.20119523379587
310,Rift Valley,34085.0,11.3,1684.0,2.9,99.12156242752502
311,Coast,27418.0,21.0,1446.0,2.9,46.315750688260934
312,Rift Valley,32069.0,45.1,1998.0,0.1,80.32926892471568
313,Nairobi,55808.0,8.8,2463.0,5.8,15.802493743055422
314,Rift Valley,51323.0,28.0,118.0,0.1,79.05738948859562
315,Nairobi,5038657.0,8.3,97922.0,10.2,40.99247952063625
316,Rift Valley,34774.0,15.5,5715.0,2.7,51.58222476222657
317,Rift Valley,650707.0,11.8,26105.0,7.5,23.076144513685655
318,Western,4467634.0,8.3,80341.0,9.4,77.6826426885612
319,Nairobi,4605146.0,2.6,144393.0,12.0,11.285733355268732
320,Nairobi,9948.0,1.3,1285.0,4.3,44.03906102235641
321,Nairobi,32491.0,0.5,1150.0,10.8,86.61451378006885
322,Nairobi,51770.0,12.0,2642.0,0.1,70.02888148034208
323,Other,3508204.0,20.7,73871.0,13.4,24.16271638294735
324,Nairobi,38407.0,23.0,3019.0,3.2,86.0375755310695
325,Nairobi,72574.0,12.5,3169.0,2.3,23.7093653606467
326,Western,16921.0,25.2,1720.0,1.3,65.00355773025424
327,Nairobi,1000.0,44.2,1493.0,2.2,38.8861486046486
328,Western,46998.0,14.9,2788.0,6.8,44.10251097905804
329,Rift Valley,3943873.0,11.5,147769.0,11.0,47.90038163619705
330,Rift Valley,23259.0,29.4,1500.0,1.1,55.81546762244185
331,Coast,4608886.0,7.5,123664.0,10.1,42.13558636778434
332,Nairobi,18273.0,9.6,5064.0,2.5,29.320657026452835
333,Western,42961.0,21.2,4151.0,3.8,59.10449273699077
334,Other,42112.0,13.4,5363.0,2.6,0.0
335,Rift Valley,41219.0,26.8,1589.0,8.4,3.4372206165586974
336,Coast,14789.0,35.3,2683.0,4.0,11.54957110219432
337,Nairobi,66053.0,15.6,2003.0,8.3,72.91485136758006
338,Other,34025.0,29.1,1587.0,1.9,69.20846467650372
339,Coast,577862.0,17.1,10617.0,6.8,9.205958695536054
340,Rift Valley,15887.0,0.5,1213.0,0.1,48.62115415513547
341,Nairobi,43320.0,48.0,2570.0,3.5,72.41869485802891
342,Coast,4134120.0,11.9,88857.0,4.7,87.11807247840399
343,Rift Valley,2700.0,1.6,1444.0,6.5,77.74663268267875
344,Rift Valley,44955.0,27.5,948.0,0.1,38.858205100444245
345,Rift Valley,37536.0,25.2,1831.0,1.2,14.097609258060515
346,Coast,59821.0,6.1,3035.0,5.3,53.16029539191292
347,Western,54346.0,16.0,2477.0,8.6,58.092290521663536
348,Coast,20487.0,49.1,955.0,1.9,49.11161755277119
349,Nairobi,39374.0,19.6,5449.0,3.6,21.450687768190463
350,Rift Valley,43724.0,41.3,1549.0,1.5,90.24570827290532
351,Rift Valley,37801.0,23.4,3429.0,2.9,52.028304069112146
352,Rift Valley,2644487.0,7.7,153247.0,10.8,43.923361455384104
353,Nairobi,614441.0,19.6,23001.0,6.3,70.02141221228007
354,Coast,14082.0,2.0,746.0,5.4,45.216067914310415
355,Other,788438.0,22.4,32206.0,10.7,53.87511995071407
356,Nairobi,4959.0,0.1,996.0,3.9,13.037327082074135
357,Rift Valley,17969.0,1.2,866.0,2.5,55.28922719036175
358,Coast,3050489.0,4.6,94947.0,9.8,92.15315786098074
359,Western,44407.0,17.1,1924.0,2.1,23.64542584891005
360,Nairobi,808121.0,6.7,17314.0,11.2,25.43240928223503
361,Other,40467.0,20.2,1494.0,1.4,91.77998450766768
362,Coast,22728.0,37.3,1351.0,1.5,33.363260488888194
363,Coast,10424.0,1.6,583.0,8.4,96.58132386653371
364,Nairobi,293932.0,18.0,22158.0,4.1,70.42943384745307
365,Coast,11366.0,33.2,1602.0,2.4,65.5421289014481
366,Western,20850.0,17.5,1417.0,2.9,34.898048445612005
367,Rift Valley,296977.0,6.8,20570.0,9.8,36.210165416511735
368,Rift Valley,32693.0,22.7,1936.0,0.5,62.79769542561453
369,Western,55303.0,10.8,2531.0,1.9,40.88195734008118
370,Nairobi,267481.0,16.2,18420.0,7.0,65.10975597036784
371,Nairobi,35720.0,21.8,4433.0,2.5,100.0
372,Western,545391.0,16.2,31101.0,6.8,47.0884189629077
373,Western,951714.0,15.2,14333.0,11.3,57.403216884386644
374,Nairobi,3358145.0,17.2,78249.0,8.8,22.3663030520949
375,Rift Valley,48785.0,23.7,1606.0,1.8,48.95959113676255
376,Coast,83089.0,20.9,4300.0,1.9,55.17108127805618
377,Nairobi,24262.0,32.7,1675.0,0.2,33.78524956842194
378,Nairobi,30536.0,37.5,1355.0,1.5,52.47738940372163
379,Western,12719.0,0.5,523.0,4.8,
380,Western,966528.0,13.6,21046.0,7.5,84.0777057733264
381,Nairobi,579904.0,22.6,21251.0,3.4,64.93106616332668
382,Rift Valley,23364.0,40.8,1389.0,1.1,89.8912815493394
383,Rift Valley,19957.0,39.8,1961.0,1.8,29.89845250700614
384,Western,15863.0,0.8,137.0,4.8,81.26670083978054
385,Western,45398.0,23.0,2770.0,2.1,91.01726813143165
386,Rift Valley,43049.0,41.7,1870.0,1.2,68.33211825759044
387,Coast,1053053.0,18.9,24900.0,7.6,41.96749994308288
388,Western,40827.0,27.8,2090.0,5.6,53.27441870237061
389,Nairobi,28563.0,23.6,2758.0,0.8,50.89972315288622
390,Coast,60156.0,26.9,2188.0,5.3,95.54383053889879
391,Nairobi,573785.0,12.1,18939.0,9.8,62.19749911514998
392,Rift Valley,39495.0,11.2,3084.0,6.3,1.4989324528982593
393,Western,4459959.0,9.3,102622.0,8.5,18.033420414121352
394,Western,31899.0,38.4,2499.0,3.0,77.51309563353716
395,Nairobi,12336.0,1.4,1187.0,9.7,86.43228701798769
396,Western,35764.0,14.1,3578.0,6.1,41.417154249952475
397,Western,60106.0,11.2,169.0,4.3,19.947642944366343
398,Nairobi,59971.0,17.1,2247.0,3.7,56.70338609097738
399,Western,697125.0,9.7,18616.0,6.0,41.90706389136534
400,Coast,31947.0,0.8,795.0,7.8,95.92234316369769
401,Nairobi,528327.0,14.0,10983.0,5.9,64.51090702404078
402,Western,5259.0,2.2,1552.0,2.5,58.30290155625473
403,Nairobi,746367.0,17.1,12196.0,4.1,66.03743377372052
404,Western,532458.0,10.5,29316.0,5.9,20.760417726663043
405,Nairobi,724366.0,12.0,27692.0,10.9,53.19783502106633
406,Nairobi,63424.0,13.2,4896.0,6.8,87.02557257968331
407,Nairobi,12144.0,0.7,993.0,11.6,45.39314546043619
408,Western,45975.0,20.0,1624.0,1.6,4.108934044028544
409,Nairobi,49122.0,21.5,3891.0,7.2,
410,Nairobi,545323.0,18.4,27841.0,6.3,72.94994629230239
411,Nairobi,469831.0,21.3,32832.0,4.2,37.5803554707702
412,Rift Valley,643417.0,16.2,15450.0,4.9,82.31790040080213
413,Rift Valley,763000.0,15.5,18039.0,2.7,18.96300542135137
414,Western,53493.0,9.5,3605.0,6.0,22.81936873899747
415,Nairobi,40282.0,14.4,3587.0,3.5,42.813606606012094
416,Coast,44349.0,15.8,2952.0,3.2,43.46896055506624
417,Coast,3843.0,0.5,1326.0,8.5,59.933399111934264
418,Nairobi,75605.0,20.6,2064.0,8.0,
419,Coast,19979.0,22.6,2097.0,0.1,31.21407550272873
420,Nairobi,4494154.0,8.7,106449.0,4.6,58.89194000338269
421,Nairobi,21117.0,26.0,1553.0,2.4,98.88030387558896
422,Western,733049.0,13.1,17661.0,7.1,58.76669835596787
423,Nairobi,23306.0,35.9,1909.0,2.2,100.0
424,Other,618449.0,11.2,23711.0,9.8,40.14726736748552
425,Nairobi,14659.0,0.7,1012.0,6.3,10.31808774173394
